TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000196676	ENSMUSE00001360595	16_3	mus_musculus	61	GSE30352						4.8981673457894053e-08						5.91246059574118e-08		4.3242192387468e-08																																											1.2968196826266166e-07				
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000196676	ENSMUSE00001360595	16_3	mus_musculus	61	GSE30617	1.0331247325573475e-07																																			1.5821139826003247e-07																	1.4256105364386917e-07						7.9834612136592e-08		
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000196676	ENSMUSE00001360595	16_3	mus_musculus	61	GSE41338						4.997680139350315e-07						7.337148890155548e-08																																																	
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000196676	ENSMUSE00001360595	16_3	mus_musculus	61	GSE41637						9.508007487023448e-09						7.343620468724368e-08				3.140809942103949e-08																				7.990872936840273e-08																9.376617349285035e-09	1.3509012870146543e-07				2.2910096824033612e-07				
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000196676	ENSMUSE00001360595	16_3	mus_musculus	61	GSE36026																				3.6456552848458024e-08																																									
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000196676	ENSMUSE00001360595	16_3	mus_musculus	61	GSE43520												8.88521501702037e-08										8.387011641906306e-08																										5.8043613363418784e-08									1.1599384965810957e-07				
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE43721												2.1040174909498845e-08																																													8.64635110951892e-08				
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE43013												6.609647183385206e-08																																																	
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	SRP022612																																																													3.012994287745515e-08
ENSMUST00000199567	ENSMUSE00001356857	14_0	ENSMUST00000199567	ENSMUSE00001360595	16_3	mus_musculus	61	GSE30352						4.8981673457894053e-08						5.91246059574118e-08		4.3242192387468e-08																																											1.2968196826266166e-07				
