Species	path	Ammon's horn	adult mammalian kidney	brain	cerebellum	colon	embryonic stem cell	female gonad	fibroblast	heart	kidney	liver	lung	placenta	prefrontal cortex	skeletal muscle tissue	spleen	testis	thymus	zone of skin
rattus_norvegicus	1_2,8_0,8_1,10_0		7.634857570062733e-07	3.6127256518459404e-07		1.1404109565133255e-06				3.6537877912819216e-07		3.747364023691178e-07	1.1779684631629986e-06			1.5599528219176384e-07	4.237785663260929e-07	2.294652714919709e-07		
sus_scrofa	1_2,8_0,8_1,10_0		9.695445987286002e-07							1.7158371451988201e-06	1.3778451182478405e-06	6.342528268782252e-07	3.026087068424638e-06		3.3470288299351647e-07					
mus_musculus	1_2,8_0,8_1,10_0	4.072928682432975e-07	3.244833183178754e-07	2.8241480785673324e-07	1.3857730634757482e-07	6.512392645865174e-07	1.9443494852510945e-07	1.8684440535656478e-06	6.797069810393018e-08	1.7178069815201635e-07		3.4920071320443063e-07	1.1933567586027983e-06	2.660451764733134e-06		9.149213473826513e-08	1.4906400904089792e-07	4.2532675603637646e-07	1.9955878279367265e-07	2.3244153462815584e-07
rattus_norvegicus	1_2,10_0		4.125830461096256e-08							1.7296079653289702e-08		8.808334904520072e-09	2.2469235011076663e-08							
mus_musculus	1_2,10_0												5.1584226389551385e-08					8.177732967435665e-08		
