,path,adult mammalian kidney,brain,colon,heart,liver,lung,skeletal muscle tissue,spleen,testis,Species,kidney,prefrontal cortex,cerebellum,placenta,frontal cortex,Ammon's horn,bone marrow,brown adipose tissue,cerebral cortex,embryonic stem cell,female gonad,fibroblast,thymus,zone of skin,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,intestine,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,blastula,embryo,gastrula,mesonephros,bone marrow macrophage,temporal lobe,egg cell
21,"7_0,52_0",1.0,0.4560724783142377,1.0,1.0,1.0,0.931509952640275,1.0,,1.0,homo_sapiens,0.8708853703986359,0.3416934793093524,0.1352189877516648,1.0,0.20242252272347172,,,,,,1.0,,,,1.0,1.0,0.9246153266167496,1.0,0.7794944296420551,1.0,1.0,0.6929058838274895,1.0,0.6125544341399423,0.8406503904939596,1.0,1.0,,,,,,,
22,"7_0,37_1,52_0",,0.5439275216857623,,,,0.06849004735972496,,,,homo_sapiens,0.12911462960136402,0.6583065206906475,0.8647810122483351,,0.7975774772765283,,,,,,,,,,,,0.07538467338325039,,0.22050557035794502,,,0.3070941161725104,,0.3874455658600578,0.15934960950604043,,,,,,,,,
23,"7_0,52_0",1.0,0.3409280067801267,,1.0,,,,,1.0,monodelphis_domestica,,,0.4298654807073776,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,"7_0,37_1,52_0",,0.6590719932198733,,,,,,,,monodelphis_domestica,,,0.5701345192926223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"7_0,52_0",1.0,0.17157150951920735,1.0,0.9499930471587746,0.9412318344431466,1.0,0.9883967854381767,1.0,1.0,mus_musculus,,,0.23538042764074646,1.0,,0.14804112148053672,,1.0,0.17647058823529416,1.0,1.0,1.0,1.0,0.9640805993307588,,,,,,,,,,,,,,,,,,1.0,,
26,"7_0,37_1,52_0",,0.8284284904807926,,0.05000695284122539,0.05876816555685341,,0.011603214561823342,,,mus_musculus,,,0.7646195723592535,,,0.8519588785194632,,,0.8235294117647058,,,,,0.03591940066924113,,,,,,,,,,,,,,,,,,,,
27,"7_0,52_0",,,,0.40343800193775026,1.0,,,,0.1496435724829569,ornithorhynchus_anatinus,,,0.04050884078655466,,,,,,,,0.9023066096653061,,,,,,,,,,,,,,,,,,,,,,,
28,"7_0,37_1,52_0",,1.0,,0.5965619980622497,,,,,0.8503564275170431,ornithorhynchus_anatinus,,,0.9594911592134453,,,,,,,,0.09769339033469399,,,,,,,,,,,,,,,,,,,,,,,
29,"7_0,52_0",1.0,0.18505479333782157,1.0,1.0,1.0,1.0,0.9950874482992359,1.0,0.9772612877109033,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"7_0,37_1,52_0",,0.8149452066621784,,,,,0.004912551700764137,,0.022738712289096796,rattus_norvegicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
