Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
homo_sapiens	12_2,8_0																															6.617143322728912e-08											
xenopus_tropicalis	12_2,8_0																				1.241019825415813e-07																						
gorilla_gorilla	2_4,7_0,12_3					5.0171549069154714e-08																1.2024802438982686e-06												7.653752891011615e-08					1.1034389311377178e-07				
sus_scrofa	2_4,7_0,12_3																					1.431807792522705e-05			8.794756073922386e-08									2.2615677688686717e-07									
gorilla_gorilla	2_4,12_3					6.799503532605524e-07						7.319807377422112e-07								5.84759434354402e-07		1.4375845488708203e-07					2.0628793050948117e-07							8.018400288810819e-07					7.029489749734044e-06				
homo_sapiens	2_4,12_3		1.4256347544267236e-06	1.07307960864179e-06	1.3701063505052822e-06	6.61975137528688e-07				6.621184593997905e-07		2.9927500945509706e-07		2.0987233031681655e-06				2.0411994609366776e-06		6.787283077577496e-07		4.065962801692794e-07	2.1450964614808446e-07	1.5950319517423845e-06	1.5886765912671699e-06	9.642757620045435e-07	3.412744687849334e-07	1.550932509040331e-06	1.1126120446433948e-06		1.2301173091477133e-06	1.1919427484633542e-07	8.237986841260056e-07	5.991766645532879e-07	1.35298565106915e-06	1.2401569660963656e-07		1.5570381066665836e-06	7.844432707881106e-06	1.7028781287528066e-06		1.245157927781086e-06	
sus_scrofa	2_4,12_3					1.509438410061781e-06																6.746738289374006e-07			2.374584139959045e-06		1.1440339267640923e-06	3.440183193577483e-06						1.9030857637922964e-06									
ornithorhynchus_anatinus	2_4,12_3					5.711011959880785e-07				8.608706902964475e-07		1.1019654607015837e-06						3.0358908463472645e-06				8.183303033187826e-07					2.2747537175417705e-07												2.3225467256731555e-06				
gorilla_gorilla	2_4,7_0,12_3,1_2					1.7952732143523194e-07																1.1927441343201141e-06												2.8975379094873936e-07					3.4929180419948594e-06				
sus_scrofa	2_4,7_0,12_3,1_2																					1.626713565326843e-05			9.087914609719798e-07									7.250780936625244e-07									
gorilla_gorilla	2_4,1_2					3.250065742943108e-06						1.2327097201390658e-06								1.1695188687088044e-06		2.431885627745764e-07					1.9454047486697637e-06							2.164246468108867e-06					2.0926510962399123e-06				
homo_sapiens	2_4,1_2		4.686311510289341e-06	3.3237606434502593e-06	3.188241680352343e-06	1.675800561119674e-06				2.0783520019915378e-06		7.57881940978638e-07		1.883198112530368e-06				3.768556045402281e-06		1.0797708948018966e-06		4.963075169071605e-07	4.0517717801943677e-07	2.5057610610665555e-06	2.344595698179911e-06	1.6919743313283235e-06	1.0050523759339142e-06	2.7736302130588428e-06	2.622488527960568e-06		3.8118800451511253e-06	2.0902805362571474e-07	2.439719754706358e-06	1.5592960225284209e-06	1.996620240533337e-06	4.5460506096483553e-07		2.12203430167796e-06	1.4787081829044914e-06	3.9047619170160726e-06		4.445127086561571e-06	
sus_scrofa	2_4,1_2					4.115763044595597e-06																1.1494443011526076e-06			8.970651195400836e-06		2.392653223119198e-06	1.1276156023392865e-05						1.8617935350558128e-06									
mus_musculus	2_4,1_2	1.6063867054084348e-06				1.2485566273621257e-06			3.5097020448476746e-07	1.3402437748938432e-06	1.4895654239690485e-07	7.343240316118609e-07	2.9527278894716e-08	1.324422629935257e-06			3.0988069921189325e-07	6.226465619052721e-06	1.274450589448691e-07			5.516799616214609e-07					1.2581477135087365e-06	2.6174786786021433e-06					6.955467463631687e-06			3.2949486211643725e-07	1.971343040084393e-06		6.545986776907157e-06		4.822608664124681e-06		8.975534204435324e-07
gorilla_gorilla	2_4,7_0,12_3,5_0					1.795273214352319e-07																1.1927441343201141e-06												2.8975379094873947e-07					3.4929180419948594e-06				
sus_scrofa	2_4,7_0,12_3,5_0																					1.626713565326843e-05			9.087914609719801e-07									7.250780936625246e-07									
gorilla_gorilla	2_4,5_0					3.250065742943109e-06						1.2327097201390665e-06								1.169518868708804e-06		2.431885627745764e-07					1.9454047486697637e-06							2.164246468108868e-06					2.0926510962399114e-06				
homo_sapiens	2_4,5_0		4.686311510289341e-06	3.323760643450259e-06	3.1882416803523427e-06	1.6758005611196736e-06				2.0783520019915386e-06		7.578819409786379e-07		1.8831981125303684e-06				3.768556045402279e-06		1.0797708948018968e-06		4.963075169071605e-07	4.051771780194367e-07	2.5057610610665555e-06	2.3445956981799113e-06	1.6919743313283233e-06	1.0050523759339147e-06	2.773630213058842e-06	2.6224885279605683e-06		3.8118800451511245e-06	2.0902805362571477e-07	2.439719754706358e-06	1.5592960225284213e-06	1.996620240533337e-06	4.546050609648354e-07		2.12203430167796e-06	1.4787081829044914e-06	3.9047619170160726e-06		4.44512708656157e-06	
sus_scrofa	2_4,5_0					4.115763044595597e-06																1.1494443011526076e-06			8.97065119540084e-06		2.392653223119198e-06	1.1276156023392861e-05						1.8617935350558125e-06									
gorilla_gorilla	2_4,12_3,1_2					5.590946097139694e-07						8.596114167326992e-07								8.771391515316032e-07		6.585151850254435e-07					3.242341247782938e-07							7.590131719535339e-07					8.643778044745539e-06				
homo_sapiens	2_4,12_3,1_2		9.320688950137499e-07	8.456322426867983e-07	1.4409025159705506e-06	5.512041062555716e-07				6.008902252118483e-07		2.137181651038014e-07		2.4636629868461783e-06				1.7842219117563697e-06		8.997091779711533e-07		1.9280777503002454e-06	1.37279013133381e-06	1.769365690066798e-06	1.6383041399203025e-06	9.215114413778498e-07	2.782274970093396e-07	1.660127807258904e-06	1.1340559409034518e-06		3.671286390549201e-06	5.897610232753935e-06	8.501740208906919e-07	8.212343688182654e-07	1.9681295912534536e-06	8.74427751273152e-06		1.7254867913514495e-06	8.174878918070333e-06	1.6855757203227136e-06		2.5043168603773422e-06	
sus_scrofa	2_4,12_3,1_2					1.4118437209617646e-06																1.0419962469144293e-05			2.4625317006982685e-06		1.45921488872726e-06	5.876979622361534e-06						1.8130032455030678e-06									
gorilla_gorilla	2_4,1_2					3.250065742943108e-06						1.2327097201390658e-06								1.1695188687088044e-06		2.431885627745764e-07					1.9454047486697637e-06							2.164246468108867e-06					2.0926510962399123e-06				
homo_sapiens	2_4,1_2		4.686311510289341e-06	3.3237606434502593e-06	3.188241680352343e-06	1.675800561119674e-06				2.0783520019915378e-06		7.57881940978638e-07		1.883198112530368e-06				3.768556045402281e-06		1.0797708948018966e-06		4.963075169071605e-07	4.0517717801943677e-07	2.5057610610665555e-06	2.344595698179911e-06	1.6919743313283235e-06	1.0050523759339142e-06	2.7736302130588428e-06	2.622488527960568e-06		3.8118800451511253e-06	2.0902805362571474e-07	2.439719754706358e-06	1.5592960225284209e-06	1.996620240533337e-06	4.5460506096483553e-07		2.12203430167796e-06	1.4787081829044914e-06	3.9047619170160726e-06		4.445127086561571e-06	
sus_scrofa	2_4,1_2					4.115763044595597e-06																1.1494443011526076e-06			8.970651195400836e-06		2.392653223119198e-06	1.1276156023392865e-05						1.8617935350558128e-06									
mus_musculus	2_4,1_2	1.6063867054084348e-06				1.2485566273621257e-06			3.5097020448476746e-07	1.3402437748938432e-06	1.4895654239690485e-07	7.343240316118609e-07	2.9527278894716e-08	1.324422629935257e-06			3.0988069921189325e-07	6.226465619052721e-06	1.274450589448691e-07			5.516799616214609e-07					1.2581477135087365e-06	2.6174786786021433e-06					6.955467463631687e-06			3.2949486211643725e-07	1.971343040084393e-06		6.545986776907157e-06		4.822608664124681e-06		8.975534204435324e-07
gorilla_gorilla	2_4,12_3,5_0					5.590946097139693e-07						8.596114167326993e-07								8.77139151531603e-07		6.585151850254434e-07					3.242341247782937e-07							7.59013171953534e-07					8.643778044745539e-06				
homo_sapiens	2_4,12_3,5_0		9.320688950137499e-07	8.456322426867983e-07	1.4409025159705506e-06	5.512041062555716e-07				6.008902252118483e-07		2.1371816510380142e-07		2.4636629868461783e-06				1.7842219117563697e-06		8.997091779711533e-07		1.9280777503002454e-06	1.37279013133381e-06	1.769365690066798e-06	1.6383041399203027e-06	9.215114413778499e-07	2.782274970093396e-07	1.660127807258904e-06	1.1340559409034518e-06		3.6712863905492016e-06	5.897610232753935e-06	8.501740208906919e-07	8.212343688182654e-07	1.9681295912534536e-06	8.74427751273152e-06		1.7254867913514495e-06	8.174878918070333e-06	1.6855757203227136e-06		2.5043168603773422e-06	
sus_scrofa	2_4,12_3,5_0					1.4118437209617646e-06																1.0419962469144293e-05			2.4625317006982685e-06		1.4592148887272605e-06	5.876979622361534e-06						1.8130032455030678e-06									
ornithorhynchus_anatinus	2_4,12_3,5_0					3.8856696211904215e-07				9.483375300467923e-07		9.633735016361347e-07						4.27988168006092e-06				1.9727653015483084e-06					2.3356197553872868e-07												3.99108688630309e-06				
gorilla_gorilla	2_4,5_0					3.250065742943109e-06						1.2327097201390665e-06								1.169518868708804e-06		2.431885627745764e-07					1.9454047486697637e-06							2.164246468108868e-06					2.0926510962399114e-06				
homo_sapiens	2_4,5_0		4.686311510289341e-06	3.323760643450259e-06	3.1882416803523427e-06	1.6758005611196736e-06				2.0783520019915386e-06		7.578819409786379e-07		1.8831981125303684e-06				3.768556045402279e-06		1.0797708948018968e-06		4.963075169071605e-07	4.051771780194367e-07	2.5057610610665555e-06	2.3445956981799113e-06	1.6919743313283233e-06	1.0050523759339147e-06	2.773630213058842e-06	2.6224885279605683e-06		3.8118800451511245e-06	2.0902805362571477e-07	2.439719754706358e-06	1.5592960225284213e-06	1.996620240533337e-06	4.546050609648354e-07		2.12203430167796e-06	1.4787081829044914e-06	3.9047619170160726e-06		4.44512708656157e-06	
sus_scrofa	2_4,5_0					4.115763044595597e-06																1.1494443011526076e-06			8.97065119540084e-06		2.392653223119198e-06	1.1276156023392861e-05						1.8617935350558125e-06									
gorilla_gorilla	1_0,16_1,16_2,11_0,12_0					8.813987377248884e-07						8.542804658312524e-07								6.659760224591806e-07		8.374373740945656e-07					5.3377003482148e-07							8.85798602980121e-07					5.404457162728394e-06				
homo_sapiens	1_0,16_1,16_2,11_0,12_0		2.2168428532303354e-06	8.974864151953317e-07	4.7177740271002166e-06	8.359778276121258e-07				1.2993550423079926e-06		1.640999155229419e-07		3.478273359513273e-06				1.864534315399907e-06		7.964998072469127e-07		2.858684004483739e-06	9.403110624576327e-06	3.0291578712279665e-06	2.28622913377863e-06	2.9675051649456797e-06	5.440688957781619e-07	3.3816505429795653e-06	2.5700259725203045e-06		1.7226683958603482e-06	1.0045038825461578e-05	8.838200271877318e-07	9.934870400064433e-07	4.023835254851446e-06	1.4382364081869244e-05		3.7211581462011763e-06	4.6484767978372294e-06	2.480213037910856e-06		3.6712191097939344e-06	
sus_scrofa	1_0,16_1,16_2,11_0,12_0					2.891613319232813e-06																1.4536722221641945e-05			7.0797786395075215e-06		3.1490546957691886e-06	5.7097484948959615e-06						3.0906332391775352e-06									
mus_musculus	1_0,16_1,16_2,11_0,12_0	2.1154002398255177e-06				1.3654676680952877e-06		1.3324454804948303e-07	4.199107803657039e-07	8.964992266253543e-07	2.2875469010953242e-07	9.904308096711636e-07	3.875455354931475e-07	6.176270498150195e-07			1.731686260301756e-06	2.9995725016397184e-06	1.0705384951369004e-06			2.8372959304146533e-06					1.001775509843935e-06	2.325498414180529e-06					2.6396921793364534e-06			6.600961180470866e-06	1.3621174182143945e-06		1.2253119477177347e-05		6.390368842817749e-06		2.148528702608506e-06
gorilla_gorilla	1_0,12_0											1.1562587767267786e-07										4.7643243580608924e-08																	0.0				
homo_sapiens	1_0,12_0									8.062133898499667e-08		3.7824518739156787e-07		7.41281484309671e-08				1.278321678401139e-07				4.303603694448044e-08	8.911588814610443e-08					4.948526173027096e-08			2.9741279556095097e-08	8.992057237075524e-08				2.1710388814504574e-07			1.1602207555105287e-07			4.382756321536706e-07	
xenopus_tropicalis	1_0,12_0															1.9923787527948093e-07																											
mus_musculus	1_0,12_0					9.54929381727374e-09				1.0343958016025956e-08		3.45077065025701e-08										3.7724701051549634e-08						5.1584226389551385e-08					2.988399332630661e-08								3.538980601144094e-08		
gorilla_gorilla	1_0,16_1,16_2,11_0					8.777259007609371e-07						8.083276336064248e-07								5.522727991124913e-07		7.758981844696124e-07					5.091884053338309e-07							7.966108545374457e-07					4.828539162375608e-06				
homo_sapiens	1_0,16_1,16_2,11_0		2.4618037775161416e-06	1.0244787236177347e-06	4.586699411693134e-06	7.824646060643308e-07				1.2355011843348373e-06		1.4398113500014821e-07		3.886250339820353e-06				1.8800221710390576e-06		6.857916145206848e-07		2.7811849144391953e-06	1.0097648066177349e-05	2.645760137250347e-06	2.1567028183780455e-06	3.0138556200740646e-06	5.373395733755908e-07	3.2709432077873536e-06	2.4812840141143584e-06		7.543981287808121e-07	9.976397043884426e-06	6.524201223811769e-07	8.803994546454445e-07	3.946161649336222e-06	1.4466779915697359e-05		3.436880485589943e-06	4.122143330591012e-06	2.7668016428679997e-06		4.12738501504193e-06	
sus_scrofa	1_0,16_1,16_2,11_0					2.6739121169499282e-06																1.4343065844817318e-05			7.241015834196099e-06		3.3161778621337275e-06	5.797345752139833e-06						3.1123706168211885e-06									
mus_musculus	1_0,16_1,16_2,11_0	2.127585911342175e-06				1.355584268197045e-06		1.3324454804948303e-07	4.3453453888590256e-07	8.857037806822307e-07	1.7732921713917244e-07	1.0001190951431254e-06	4.4290918342074005e-07	5.069824069479238e-07			1.5797839567665141e-06	2.1902960966176647e-06	1.2404652403967258e-06			2.9862369732273844e-06					1.049723718596319e-06	2.4298574566089253e-06					2.086670804985387e-06			6.1463324612788016e-06	1.3058556441807004e-06		1.0235772776054093e-05		7.1446127398591505e-06		2.064716405762693e-06
homo_sapiens	1_0,11_0				4.972016991171983e-08							1.2781342920363032e-07						6.326957875418191e-08		3.09066006237941e-08		4.980119859532731e-08	5.335271673100648e-08	6.663812998999956e-08				7.711075263179001e-08				5.6418974271029376e-08							8.16615683486316e-08	3.009116967207359e-08			
xenopus_tropicalis	1_0,11_0															1.075245605347358e-07					1.3605944779072674e-07																						
