Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	6_0,14_0,9_0	3.5580892572950103e-06				9.085301601906298e-07				2.9480091907020854e-06		6.185202694342916e-07	2.3621823115772799e-07	2.1947477676344875e-06			1.3671207318171762e-07	1.8519530490701054e-06	1.593063236810864e-07			1.5618502241690739e-07					9.250556912244631e-08	1.4368922995085815e-06					5.876889646476138e-06			8.095734225956499e-08	5.209718548907245e-07			3.1174504381294436e-07		5.998357576669867e-07		3.0737697336208146e-07
monodelphis_domestica	6_0,14_0,9_0					5.273874364746299e-07				1.0559722436307161e-06		2.729202379088246e-06						1.144069411621321e-06				9.246574492208758e-08					2.668190427972655e-07						5.280049624635897e-07							1.235962463752505e-07				
xenopus_tropicalis	6_0,14_0,9_0						1.3503523918711679e-05			1.6229453327669336e-06					1.015452339159971e-06	9.072239703513595e-06		4.906886861164859e-06			9.085109786383582e-06	4.2800754092756725e-07					1.0295061033878116e-06			3.2070401868122197e-06						5.323862150302114e-07				7.886405407196663e-07				
bos_taurus	6_0,14_0,9_0					1.289901812669499e-06				1.8268567095540066e-06				4.001354963975776e-06								1.180427959310899e-07					9.815396245496386e-08	9.984692701594734e-07						8.254091934547823e-07		6.575452450021052e-08	7.879377158674367e-07			9.80384826020008e-07				
gorilla_gorilla	6_0,14_0,9_0					8.156355486375755e-07						4.2735727497507515e-07								7.634359281849141e-07							1.5094313769594898e-07							1.0710984139651655e-06						6.793049632058601e-07				
sus_scrofa	6_0,14_0,9_0					1.2866882758773078e-06																1.43680537644076e-06			2.242662798850209e-06		5.47753494652599e-07	1.863432563187804e-06						2.2559442232564776e-06										
homo_sapiens	6_0,14_0,9_0		1.2066165180309621e-07	2.1026420533959643e-07	5.69189369685198e-07	7.729830645035245e-07				3.5202297464195376e-07		5.484969048932403e-07		4.1766278515918077e-07				1.0077217359377043e-06		6.906118685817265e-07		1.2421722838462447e-07	4.6145216415152457e-07	7.027848456786492e-07	3.3541487245941606e-07	5.111301077224124e-07	7.504526092414361e-08	4.3075051410936056e-07	2.023094252559677e-07		5.137826610905647e-07	6.988826995123644e-08	8.499284384107455e-07	6.339781228812955e-07	1.1061981495318101e-06	7.301385100631606e-08		5.087092385569783e-07	1.0854010947789603e-06	1.3008595970731328e-06	1.6080909725484736e-07		1.8784285028312358e-07	
rattus_norvegicus	6_0,14_0,9_0					1.624428292807544e-06				3.5738787697773545e-06				1.0056982735557664e-06								3.2806137375901134e-07					1.6417365511972397e-07	2.262943653583125e-06								1.7638938887459517e-07	2.3336054280014804e-06			1.3474334870149339e-06				
homo_sapiens	6_0,9_0									8.06213389849967e-08								2.3562926349752428e-08													1.5951243556554982e-08		4.47345589946391e-08		6.597166311237733e-08			5.263865469074106e-08		1.8168205241127513e-07				
xenopus_tropicalis	6_0,9_0																				1.1674510194634137e-07																							
monodelphis_domestica	10_0,5_0,13_0									1.6031797055143673e-07		3.900499037487582e-07																																
sus_scrofa	10_0,5_0,13_0																					3.12348994878426e-07												4.194698670173063e-07										
gorilla_gorilla	10_0,13_0											2.961726287169561e-07								3.5735298766102365e-07														7.356911083454717e-07										
sus_scrofa	10_0,13_0																					3.248429546735631e-07												3.415849211162639e-07										
mus_musculus	10_0,13_0	2.9516371519945607e-06						6.662227402474152e-08		1.7281926606678017e-06		7.173943480260644e-07	8.858183668414799e-08	7.208331006566121e-08			0.0	3.5607663652288034e-08	2.5489011788973816e-08			6.766775594851086e-08						1.0457364441524608e-08					6.570131867098447e-08			1.875323469857007e-08				3.5486080906326666e-08				2.411108162807923e-08
monodelphis_domestica	10_0,13_0									8.896400010020878e-07		2.037793857425829e-06						1.4358184630728454e-07																										
rattus_norvegicus	10_0,13_0									2.338891394855488e-06				3.384231612750499e-08								1.7296079653289702e-08						1.5703531150976968e-08								3.713801668031373e-08	3.515791958917361e-08			3.522880958907088e-08				
