Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
bos_taurus	13_0,15_1,6_0					3.312193569022594e-07		4.320045182692564e-05				1.0083856268917752e-06					3.929006921850828e-07					1.0042465029093922e-07	1.0505507762736839e-06					2.2767033373942093e-05		1.7832254053931903e-07	6.106046001707438e-07			5.232915284966435e-06				
rattus_norvegicus	13_0,15_1,6_0					1.7252535350422567e-06		5.850684447787295e-05				5.265970205236383e-07					5.909639065972064e-07					8.690443484987986e-08	1.0060862768823394e-06							9.151325915645655e-07	5.725079466625863e-07			2.0014576590315782e-07				
mus_musculus	13_0,15_1,6_0	6.695204369897569e-05				9.742913864164177e-08	5.0138600640681065e-08	4.190653363818387e-05		1.4380233460414293e-05	1.247527533301751e-06	3.2898537865845945e-06	9.114138212114505e-08	5.50823361099077e-07	1.5293407073384293e-07		5.071456634669246e-07					4.2140021769622e-08	7.570454227964635e-07				1.0335710189704925e-07			3.517239931659501e-07	2.1128123805837977e-07			6.140264999939946e-07		1.0884229566924988e-07		6.701021650540524e-07
sus_scrofa	13_0,6_0																											6.568737351285634e-08										
homo_sapiens	13_0,6_0					4.375156420956958e-08								3.605941163084061e-08					1.0846356900779327e-07	8.551262983061917e-08		5.011756327405012e-08	6.39985705279287e-08		1.8327672525930862e-08							6.881468020820298e-08		2.0365422590124376e-08				
bos_taurus	13_0,6_0					5.948973176340849e-08		1.2528894257862584e-07				1.8346726061134502e-07										5.167439241895323e-08									1.549434734574535e-07			1.2200937781159171e-08				
bos_taurus	18_0,11_1,11_2,17_0					8.219490048697388e-08		2.136653636029363e-05				2.3042715208912475e-07					6.111518289588385e-08						8.196737700110955e-08					1.385982349632856e-05		5.2452748204044135e-08				1.6561727468057536e-07				
homo_sapiens	18_0,11_1,11_2,17_0		2.920687497476104e-08			6.612990503862913e-08		8.012271299118037e-06		2.143196255875983e-06				3.271066969981655e-08		1.1946698492812325e-05	2.6504539176369925e-08								9.322777735916625e-07	6.246870529470597e-08		1.1945504932824634e-05				6.821846761632826e-08	5.4270054738948e-06					
sus_scrofa	18_0,11_1,11_2,17_0																						1.9112128853208245e-07					2.076961971786674e-05										
bos_taurus	18_0,11_0,17_0					3.1008091761776387e-07		1.0491819187251467e-05				9.198783367799139e-07					1.1760915294726604e-07					1.900977210007986e-08	3.2996110507731183e-07					6.119399279136549e-06		1.5849947111519241e-07	2.762075511330364e-07			1.958226912851233e-06				
homo_sapiens	18_0,11_0,17_0		4.056453012541699e-07	3.112278036989359e-07	1.931126326953945e-07	1.1370439002684127e-07		2.986512659478074e-06		4.0821756246461575e-06		6.07819164637778e-08		1.1411365311552211e-07		5.53094339212101e-06	1.1587288307164665e-07	1.4007708211825188e-07	3.1854961114537057e-07	4.007225581230856e-07		9.204421712547004e-08	2.712364631777756e-07	6.365604595717553e-08	9.9900016187327e-07	7.174324242210054e-08	1.1224094256278421e-07	3.248556399091656e-06	8.354151809908915e-08			3.778705773246984e-07	3.690363722248465e-06	1.3996780214113803e-07	3.0623408613454955e-07		1.07829284167644e-07	
sus_scrofa	18_0,11_0,17_0																4.9975839180548165e-08						2.8668193279812367e-07					7.516610544144234e-06										
mus_musculus	18_0,11_0,17_0	1.994627377301383e-05				8.706475556497424e-08		5.859565565718968e-06		4.687025283886367e-06	5.68400118723283e-07	1.0139753619196474e-06		3.8019644599910225e-07	1.3381731189211257e-07		1.2948686256097306e-07						4.990438153247372e-07				9.039664157089485e-08			1.385271807596878e-07	1.4702943801445892e-07			8.676907782802959e-08		1.0146512289141613e-07		1.5599624156492557e-07
