Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
gorilla_gorilla	3_0,10_0,2_2									1.3256688946910407e-06						1.9004681616518078e-06												2.9525168300416304e-06						7.422814420954784e-08				
sus_scrofa	3_0,10_0,2_2					8.190145783186831e-08											8.745771856595928e-08											1.5737248621877457e-06										
homo_sapiens	3_0,10_0,2_2			8.672891405671285e-08	6.099252123718379e-08	5.3290447487001014e-08		1.2980566327794627e-06		1.2516757419727235e-06		6.098873720989944e-08		2.0119783659617323e-08		2.9905802330623793e-06	4.761704112648692e-08					2.9112297976362376e-08	5.455358941957829e-08		2.0465038726428502e-07	6.47704148036024e-08		2.010638385697915e-06				6.114907022317091e-08	1.9537219706021285e-06				7.651422810569767e-08	
rattus_norvegicus	3_0,10_0,2_2					1.002044523291234e-07		3.4683206788278914e-06				8.76100586287948e-08					1.2740322316940871e-07					2.0163729074276612e-07	9.389127953198662e-08							5.749934788365502e-08	1.7220785533706967e-07							
mus_musculus	7_1,6_0,13_0	5.4309788481394476e-06				8.543488356798667e-07	8.774255112119188e-08	2.3473978210738653e-06	9.575777725515313e-08	7.846921737462203e-07	2.066909522630119e-07	6.602036438988977e-07	1.0025552033325954e-07	1.7286282741799188e-06	1.6567857662832984e-07		1.1115875203737272e-06					9.152635484960158e-07	1.1375127844575137e-06				1.7106152770463778e-06			7.650949670451933e-07	9.77332968856937e-07			6.656708486957306e-07		2.3231984586856856e-06		4.175754985688371e-07
monodelphis_domestica	7_1,6_0,13_0					2.3621421871448033e-07		4.670439650080706e-07		3.467365132689643e-07				6.366074897501008e-07			2.4821492776718744e-07					2.5462240790587906e-07					3.6282327340182934e-07							2.3549136517342494e-07				
bos_taurus	7_1,6_0,13_0					5.290408310187484e-07		1.669373678885951e-06				2.092691104054316e-07					2.767287516354143e-07					3.4042586192716285e-07	4.196610115150441e-07					1.3502669567488754e-06		2.473590054307318e-07	5.164652265906795e-07			8.632532239398069e-08				
gorilla_gorilla	7_1,6_0,13_0					3.7095130070463917e-07				9.57230092428661e-07						1.331952044918361e-06						1.793761836770538e-07						1.8534336495267616e-06						7.000489106565115e-07				
sus_scrofa	7_1,6_0,13_0					6.219123468427231e-07											1.0120107434061003e-06			1.1433182896099102e-06		5.978479448572446e-07	4.778032213302061e-07					2.1095469074747174e-06										
ornithorhynchus_anatinus	7_1,6_0,13_0					1.735118472679115e-07		2.2613570736927823e-07		3.6033938087819204e-07				6.979912497813854e-07								6.232121355677103e-08												1.4675479797457297e-07				
rattus_norvegicus	7_1,6_0,13_0					1.1724130590269696e-06		3.639353415191679e-06				8.987059137554475e-07					8.955794692921267e-07					1.8813230947571244e-06	1.0425924917627087e-06							6.590095867566679e-07	1.2924020587794505e-06			3.2278028669873443e-07				
rattus_norvegicus	7_1,13_0					4.255774733712799e-08		6.104125509833922e-08														8.808334904520072e-09	1.5703531150976968e-08															
bos_taurus	7_1,13_0					1.1611225156564598e-08																2.5346362800106482e-08								5.2452748204044135e-08	1.2911956121454457e-08							
mus_musculus	7_1,13_0							2.0769188604457858e-08		6.93373471336842e-08												4.08358377272014e-08					4.3215064218233665e-08				1.0983768654124128e-08			1.23519301564556e-08		5.211112900792532e-08		3.556551136963603e-08
ornithorhynchus_anatinus	7_1,13_0													4.5602410974810394e-08			9.741394233153063e-08																	2.242193590007996e-08				
mus_musculus	13_0,5_0,3_0	7.921651268396174e-06				9.203070103684501e-07	2.5069300320340535e-07	2.822745957603948e-06	1.0639753028350348e-07	1.2182071144301562e-06	4.4290918342073994e-07	6.914402840486973e-07	1.3671207318171757e-07	2.206704719256038e-06	2.1665660020627744e-07		1.1273341193422697e-06					1.0839981650912063e-06	1.6571941127633105e-06				2.4914164506845823e-06			8.182040507719309e-07	1.9944860491118713e-06			1.0174874461467444e-06		3.725597579274022e-06		5.147819187136982e-07
monodelphis_domestica	13_0,5_0,3_0							5.12765180044336e-07		5.843866873313002e-07				6.044533722375584e-07			2.1148247958967274e-07					2.597331943207579e-07					4.923744598256423e-07							3.3619285369006246e-07				
bos_taurus	13_0,5_0,3_0					6.810954966530978e-07		2.7968875832312762e-06				2.8257385729853733e-07					2.923141958192493e-07					4.619445500971672e-07	5.118425936560655e-07					1.878280212417581e-06		3.2346563996786747e-07	5.747159687698264e-07			1.7663687443448226e-07				
gorilla_gorilla	13_0,5_0,3_0					4.979045497529605e-07				1.1702372801587403e-06						1.949198114514674e-06						1.6761655296033634e-07						2.0124438337181603e-06						7.842767103225532e-07				
sus_scrofa	13_0,5_0,3_0					4.6002228445491417e-07											1.1369503413574708e-06			1.2312658503491342e-06		5.736013620970536e-07	2.2934554623849893e-06					2.970083237041368e-06										
ornithorhynchus_anatinus	13_0,5_0,3_0					2.087595888393658e-07		3.4125299277168e-07		4.758679715472251e-07				1.7246247292824978e-06			2.0349872125562518e-07					1.3385097611985785e-07												4.1805667151155265e-07				
homo_sapiens	13_0,5_0,3_0		7.71425528333406e-07	4.3720315097719943e-07	9.374560900447448e-07	4.99996783601093e-07		1.8325025582936921e-06		7.113077424504386e-07		7.742954689592377e-07		6.044478066563272e-07		1.538234154764083e-06	9.285164131297375e-07	4.5493292448540894e-07	1.2507307271435368e-06	1.1819580368898883e-06	9.04189531742639e-07	2.2073503544421816e-07	1.0685045573842708e-06	6.841107704611496e-07	9.557500901329414e-07	6.470075846174519e-07	8.445960531108183e-07	1.6129007767391444e-06	1.3100442400900704e-06	8.938357393454312e-07		1.2501033444559184e-06		4.6963112993811506e-07	9.821099983532167e-07		7.860926494151345e-07	
rattus_norvegicus	13_0,5_0,3_0					1.392412656073241e-06		5.213017930412784e-06				1.6195168587075942e-06					1.0262739237044025e-06					2.4836304245464316e-06	1.2964870231674834e-06							1.0925526342456576e-06	1.4763096864108901e-06			4.275484432211782e-07				
rattus_norvegicus	13_0,3_0																1.7296079653289702e-08					4.2416867965532244e-08																
sus_scrofa	13_0,3_0																						3.822425770641649e-07															
mus_musculus	13_0,3_0																																			7.266110092321743e-08		3.687883230995804e-08
