,path,colon,heart,lung,spleen,adult mammalian kidney,brain,liver,prefrontal cortex,skeletal muscle tissue,testis,Species,female gonad,placenta,thymus,zone of skin,Ammon's horn,bone marrow macrophage,cerebellum,cerebral cortex,embryonic stem cell,fibroblast
0,"6_0,3_0",0.07423408223269813,0.049188837524516825,0.0584361833811594,0.022336930367625157,,,,,,,bos_taurus,,,,,,,,,,
1,"6_0,4_0,4_1,3_0",0.9257659177673019,0.9508111624754833,0.9415638166188406,0.9776630696323748,1.0,1.0,1.0,1.0,1.0,1.0,bos_taurus,,,,,,,,,,
2,"6_0,3_0",0.06510324071172761,0.0332172720028589,0.033000422681590494,0.0549119005365838,0.08835024013203664,0.03037302551474877,0.285738254357565,,,0.04608323175473935,mus_musculus,0.013058820364429196,0.050258032688515156,0.01915716149136866,0.04570905662495554,,,,,,
3,"6_0,4_2,3_0",0.7247848019279804,0.1962109662805154,0.5272383916047733,0.8088067611418388,0.40528937935481724,0.046472819227847705,0.2683677500432812,,0.32953250102481446,0.5212103718929647,mus_musculus,0.189004030751011,0.2996270910161353,0.9372654084789522,0.2439940125674026,0.03148249663462705,1.0,0.07883426178432798,,,
4,"6_0,4_0,4_1,3_0",0.210111957360292,0.7705717617166257,0.4397611857136363,0.13628133832157724,0.5063603805131462,0.9231541552574034,0.4458939955991539,,0.6704674989751855,0.43270639635229596,mus_musculus,0.7979371488845597,0.6501148762953495,0.043577430029679017,0.7102969308076418,0.968517503365373,,0.921165738215672,1.0,1.0,1.0
5,"6_0,3_0",0.011934441462388711,0.013667430393180986,0.05838388266930014,0.03168287233345146,0.2539935670674829,,0.0,,0.07342239805456664,0.009825264061800634,rattus_norvegicus,,,,,,,,,,
6,"6_0,4_2,3_0",0.8592071417193059,0.14405440363321734,0.471949248484263,0.8778540008826716,0.23096674981741788,0.01596853659166953,0.44254248477356667,,0.40012497195845664,0.2513868149299698,rattus_norvegicus,,,,,,,,,,
7,"6_0,4_0,4_1,3_0",0.1288584168183055,0.8422781659736016,0.4696668688464368,0.09046312678387697,0.5150396831150993,0.9840314634083305,0.5574575152264333,,0.5264526299869767,0.7387879210082297,rattus_norvegicus,,,,,,,,,,
