Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	female gonad	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
homo_sapiens	7_1,17_0	1.885842990768891e-06	6.51737725454775e-07	1.5953671847578135e-06	2.860903368243348e-07	2.3095159072183013e-07	3.56776761087795e-08	9.90854763327643e-07	2.1477124279753835e-06	3.3652825901198297e-07	1.8032256775101961e-06	3.634441565502525e-07	5.7795687432017585e-06	4.87024713712092e-06	4.330532206547804e-07	1.6364555242673014e-07	2.9397584025875036e-06	7.511625044944882e-07	4.075883290777272e-06	4.729702132318937e-08	7.405473699170142e-07	9.29157792515054e-08	6.185621832519907e-07	3.238075372965407e-08	4.342351846643719e-06		1.303743816200676e-06	8.977700782552846e-07	1.2034507881950304e-06
gorilla_gorilla	7_1,14_0,19_0,17_0						1.287732812397495e-06			9.312835436014556e-07												1.3171799153332915e-06							
homo_sapiens	7_1,14_0,19_0,17_0					1.2481554875295438e-06	7.590467512557358e-07			3.040321520896112e-06									1.6797429154337073e-06	6.046469990152043e-07		1.4039486586966231e-06		9.508235635318993e-07					
gorilla_gorilla	7_1,17_0				2.846754662090528e-07		6.981774015414932e-08			2.274064466933788e-07	7.312231366142402e-08					2.2980719194291625e-07						1.738522745692436e-07					3.47401803995438e-07		
homo_sapiens	7_1,17_0	1.885842990768891e-06	6.51737725454775e-07	1.5953671847578135e-06	2.860903368243348e-07	2.3095159072183013e-07	3.56776761087795e-08	9.90854763327643e-07	2.1477124279753835e-06	3.3652825901198297e-07	1.8032256775101961e-06	3.634441565502525e-07	5.7795687432017585e-06	4.87024713712092e-06	4.330532206547804e-07	1.6364555242673014e-07	2.9397584025875036e-06	7.511625044944882e-07	4.075883290777272e-06	4.729702132318937e-08	7.405473699170142e-07	9.29157792515054e-08	6.185621832519907e-07	3.238075372965407e-08	4.342351846643719e-06		1.303743816200676e-06	8.977700782552846e-07	1.2034507881950304e-06
gorilla_gorilla	7_1,14_0,19_0						5.707840881895657e-07			7.634359281849141e-07												1.1798649704900218e-06							
homo_sapiens	7_1,14_0,19_0					1.1611697749789694e-06	3.093250760161373e-07			1.1781816315213267e-06									1.1689755713494029e-07	8.52364346437515e-08		1.3287623862897196e-06		1.2134277349155937e-07					
gorilla_gorilla	7_1,19_0				0.0		8.307049473145296e-07			3.2486635241911244e-08	2.4650345935559755e-07																0.0		
homo_sapiens	7_1,19_0	0.0	3.20886705145064e-07	3.341714455212745e-07		8.96716013362911e-08	4.3471102204890907e-07	6.065782401610477e-08	1.8029705815420306e-08		2.318428712254972e-06	1.661769627451341e-06	3.342210162621383e-07	1.3401015002275375e-07	0.0	0.0	4.8155596497744725e-08	6.365604595717553e-08	1.408608318911973e-06	1.3035933407472248e-06	0.0		6.779366800531303e-07	2.9159404214724037e-06	5.767579173014333e-07		1.7616719913418762e-07	0.0	2.2261341104233989e-07
gorilla_gorilla	7_1,14_0,17_0																					5.896143793876295e-07							
homo_sapiens	7_1,14_0,17_0					7.584513121799935e-07				5.579840279726456e-07																			
gorilla_gorilla	7_1,19_0,17_0						1.7761676040639415e-06			6.497327048382249e-07	2.711538052911573e-07																0.0		
homo_sapiens	7_1,19_0,17_0	2.1971808060964212e-08	2.5449279614347073e-07	3.7894184619229877e-07		7.55899256983492e-07	1.046600561891921e-06	6.718616547741431e-08	1.6568890108503047e-08		2.9195840640063796e-06	1.751045518020621e-06	3.285969644105213e-07	1.8599138065239152e-07			3.8648959218445245e-08	9.561075196507497e-08	3.107020975471607e-06	1.4735307342526672e-06	0.0		6.910711827195715e-07	2.7628627825424917e-06	5.8374524400398e-07		1.0252292681567067e-07	2.963980495326237e-08	3.791174622192398e-07
gorilla_gorilla	7_1,14_0,17_0																					5.896143793876295e-07							
homo_sapiens	7_1,14_0,17_0					7.584513121799935e-07				5.579840279726456e-07																			
gorilla_gorilla	7_1,20_0,17_0									9.745990572573373e-08	2.078704921617473e-07																		
homo_sapiens	7_1,20_0,17_0			9.404881660255047e-08			5.637498293448731e-08			1.0587066931685295e-07	2.146749876435487e-06	4.703442836066924e-07	1.5325714921047055e-07				6.39985705279287e-08		9.712324381973408e-08	7.755331882680852e-08		8.994470918836775e-08			1.0167655875098963e-07				
gorilla_gorilla	7_1,14_0,19_0						5.707840881895657e-07			7.634359281849141e-07												1.1798649704900218e-06							
homo_sapiens	7_1,14_0,19_0					1.1611697749789694e-06	3.093250760161373e-07			1.1781816315213267e-06									1.1689755713494029e-07	8.52364346437515e-08		1.3287623862897196e-06		1.2134277349155937e-07					
gorilla_gorilla	7_1,20_0,19_0									9.745990572573373e-08																			
homo_sapiens	7_1,20_0,19_0						5.810668300759496e-08			7.134792383337745e-08	1.1421931829811448e-06	3.007912902054175e-07	1.3022541581181307e-07						4.812868756390673e-08	1.080924717469452e-07					7.203887030817563e-08				
gorilla_gorilla	7_1,14_0,19_0,17_0						1.287732812397495e-06			9.312835436014556e-07												1.3171799153332915e-06							
homo_sapiens	7_1,14_0,19_0,17_0					1.2481554875295438e-06	7.590467512557358e-07			3.040321520896112e-06									1.6797429154337073e-06	6.046469990152043e-07		1.4039486586966231e-06		9.508235635318993e-07					
gorilla_gorilla	7_1,20_0,17_0									9.745990572573373e-08	2.078704921617473e-07																		
homo_sapiens	7_1,20_0,17_0			9.404881660255047e-08			5.637498293448731e-08			1.0587066931685295e-07	2.146749876435487e-06	4.703442836066924e-07	1.5325714921047055e-07				6.39985705279287e-08		9.712324381973408e-08	7.755331882680852e-08		8.994470918836775e-08			1.0167655875098963e-07				
