Species	path	Ammon's horn	adipose tissue	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
homo_sapiens	27_1,10_1,25_0			3.33543154995997e-07		2.440300349043774e-06	1.29531613534929e-06		1.3470324414862325e-08			4.532422320475737e-08		1.5238473097181866e-06		8.037931957353263e-08	1.788158570754895e-07	1.6805110690619265e-07	1.673683790519773e-07				2.3272208561295891e-07			2.0439816908442938e-06				1.824728736788839e-07		1.3157528570697598e-07			3.826259321691283e-08	
rattus_norvegicus	27_1,10_1,25_0				7.001111050851246e-08	5.189368614226385e-06			6.979291861775537e-08												4.095025384246734e-08											7.884195166850565e-08				
mus_musculus	27_1,10_1,25_0	4.87007905036339e-06				1.8224466617754357e-06	1.0774871186096807e-06	3.8385462563130804e-07			5.468482927268704e-08		2.5489011788973816e-08								6.233349251428793e-08											4.60871677797464e-08		4.978342385232033e-08		2.903184643488825e-08
monodelphis_domestica	27_1,10_1,25_0					4.086329453771057e-07	1.4071117170167735e-06					4.137520321606161e-08																				9.943274527778965e-08				
bos_taurus	27_1,10_1,25_0				9.173557166080939e-08	3.786342566880807e-06			4.5866815152836276e-08												3.9638482243571936e-08					4.866572493232044e-06						6.015803265934584e-08				
gorilla_gorilla	27_1,10_1,25_0						1.3270117942059586e-06							2.1116312907242306e-06												2.610111195559547e-06						1.6601500127093262e-07				
homo_sapiens	27_1,10_1,25_0			3.33543154995997e-07		2.440300349043774e-06	1.29531613534929e-06		1.3470324414862325e-08			4.532422320475737e-08		1.5238473097181866e-06		8.037931957353263e-08	1.788158570754895e-07	1.6805110690619265e-07	1.673683790519773e-07				2.3272208561295891e-07			2.0439816908442938e-06				1.824728736788839e-07		1.3157528570697598e-07			3.826259321691283e-08	
rattus_norvegicus	27_1,10_1,25_0				7.001111050851246e-08	5.189368614226385e-06			6.979291861775537e-08												4.095025384246734e-08											7.884195166850565e-08				
mus_musculus	27_1,25_0	1.374865679438129e-05			9.549293817273744e-09	6.41021504943561e-06	6.399545794752402e-06	9.153456457361955e-07	3.7279335783714015e-08		4.374786341814962e-07	1.6985908138793512e-07	3.313571532566598e-07			6.036763924051296e-08				2.7903220070871587e-08	1.3650842099969018e-07				7.11477892194095e-08			3.750646939714014e-08	3.8928040685297455e-08			4.406240660936531e-07		9.697882041585598e-08		7.685317447520837e-08
monodelphis_domestica	27_1,25_0					5.1802789214723524e-06	1.0006998926846697e-05					8.246067350296294e-08				6.358660769390322e-08																3.4182255183908517e-06				
xenopus_tropicalis	27_1,25_0					3.286980736029041e-07				7.145996448062674e-07					4.3962703104808686e-07																	7.265135712612763e-08				
bos_taurus	27_1,25_0				2.1369886721631968e-07	1.2266214150206177e-05			1.262006089215341e-07											6.186926799922142e-08	2.642565482904796e-08					1.292928176515679e-05						6.432630774156363e-07				
gorilla_gorilla	27_1,25_0				7.373294722829741e-08		4.401678160018362e-06							8.771391515316035e-06		4.847196772586419e-08										1.4312692931530602e-05						4.958580924145333e-07				
ornithorhynchus_anatinus	27_1,25_0					2.3878519123941537e-06	4.204311879210456e-06					4.5602410974810394e-08				9.741394233153063e-08																4.0533593958938014e-08				
homo_sapiens	27_1,25_0			1.6396263774127505e-06	4.508547241258386e-08	1.048304854331397e-05	4.718451880602037e-06					8.277150391502415e-08		6.249655032956117e-06		6.937135553883422e-07	7.331543354944111e-07	4.364705639424741e-07	4.2916904467603907e-07	1.0023512654810008e-07	1.7998274331688024e-07	4.2606274677199254e-08	3.3903624496165274e-07			1.2638884145140901e-05	1.3313992534544059e-08			5.245459780782871e-07	8.0319681013643e-06	4.2468097937074687e-07	1.0610898211017727e-07		1.39169909661889e-08	
rattus_norvegicus	27_1,25_0				1.71078530171559e-07	1.197226998157857e-05			4.920741372673283e-08							1.7296079653289702e-08				8.808334904520072e-09	1.8481461870095465e-07							3.8895835901268834e-08	1.1719306529724539e-08			4.0420987802026476e-07				
monodelphis_domestica	27_1,10_1,33_2,25_0					5.203084347528048e-07	1.444850166669324e-06																													
homo_sapiens	27_1,10_1,33_2,25_0					1.192655817265475e-06																				1.2243332296447018e-06										
bos_taurus	27_1,10_1,33_2,25_0					4.053577108943323e-06																				4.4869879310788934e-06										
mus_musculus	27_1,10_1,33_2,25_0	3.6588136643019304e-06				1.7696423594506613e-06	8.241476423878261e-07																													
mus_musculus	27_1,25_0	1.374865679438129e-05			9.549293817273744e-09	6.41021504943561e-06	6.399545794752402e-06	9.153456457361955e-07	3.7279335783714015e-08		4.374786341814962e-07	1.6985908138793512e-07	3.313571532566598e-07			6.036763924051296e-08				2.7903220070871587e-08	1.3650842099969018e-07				7.11477892194095e-08			3.750646939714014e-08	3.8928040685297455e-08			4.406240660936531e-07		9.697882041585598e-08		7.685317447520837e-08
monodelphis_domestica	27_1,25_0					5.1802789214723524e-06	1.0006998926846697e-05					8.246067350296294e-08				6.358660769390322e-08																3.4182255183908517e-06				
xenopus_tropicalis	27_1,25_0					3.286980736029041e-07				7.145996448062674e-07					4.3962703104808686e-07																	7.265135712612763e-08				
bos_taurus	27_1,25_0				2.1369886721631968e-07	1.2266214150206177e-05			1.262006089215341e-07											6.186926799922142e-08	2.642565482904796e-08					1.292928176515679e-05						6.432630774156363e-07				
gorilla_gorilla	27_1,25_0				7.373294722829741e-08		4.401678160018362e-06							8.771391515316035e-06		4.847196772586419e-08										1.4312692931530602e-05						4.958580924145333e-07				
ornithorhynchus_anatinus	27_1,25_0					2.3878519123941537e-06	4.204311879210456e-06					4.5602410974810394e-08				9.741394233153063e-08																4.0533593958938014e-08				
homo_sapiens	27_1,25_0			1.6396263774127505e-06	4.508547241258386e-08	1.048304854331397e-05	4.718451880602037e-06					8.277150391502415e-08		6.249655032956117e-06		6.937135553883422e-07	7.331543354944111e-07	4.364705639424741e-07	4.2916904467603907e-07	1.0023512654810008e-07	1.7998274331688024e-07	4.2606274677199254e-08	3.3903624496165274e-07			1.2638884145140901e-05	1.3313992534544059e-08			5.245459780782871e-07	8.0319681013643e-06	4.2468097937074687e-07	1.0610898211017727e-07		1.39169909661889e-08	
rattus_norvegicus	27_1,25_0				1.71078530171559e-07	1.197226998157857e-05			4.920741372673283e-08							1.7296079653289702e-08				8.808334904520072e-09	1.8481461870095465e-07							3.8895835901268834e-08	1.1719306529724539e-08			4.0420987802026476e-07				
monodelphis_domestica	27_1,10_1,33_2					2.45217658117291e-07	8.227250296854734e-07																													
homo_sapiens	27_1,10_1,33_2					1.349524908897922e-06																				1.1505974664083306e-06										
bos_taurus	27_1,10_1,33_2					2.772496827314393e-06																				3.4556668079834237e-06										
mus_musculus	27_1,10_1,33_2	2.939232742094299e-06				1.0159270550053895e-06	5.403397593879819e-07																													
gorilla_gorilla	27_1,33_2						6.839615324709692e-07							1.3969253154021835e-06												2.121419611181319e-06										
mus_musculus	27_1,33_2	6.322840512986213e-06				3.6533408313597715e-06	1.6120985955698214e-06	6.348364962363941e-07			3.645655284845802e-08																									3.151625817835477e-08
monodelphis_domestica	27_1,33_2					1.1793189090840248e-06	3.3811971305912793e-06																													
homo_sapiens	27_1,33_2					9.017621655042447e-07	4.856338649380515e-07		8.131831627986594e-08					7.573474954265704e-07				1.2644328129628638e-07	6.507209878890657e-08				5.441244667906249e-08			1.5901131798384481e-06				1.0875479228004902e-07	4.3416043791158407e-07					
