,path,adult mammalian kidney,brain,cerebellum,female gonad,heart,liver,placenta,testis,Species,prefrontal cortex,kidney,lung,frontal cortex,Ammon's horn,cerebral cortex,colon,spleen,thymus,zone of skin,embryonic stem cell,fibroblast,skeletal muscle tissue,brown adipose tissue,adipose tissue,adrenal gland,adrenal tissue,intestine,leukocyte,multi-cellular organism,muscle of leg,prostate gland,thyroid gland,heart left ventricle,stomach,thoracic mammary gland,lymph node,temporal lobe,bone marrow,bone marrow macrophage,blastula,egg cell,embryo,gastrula,mesonephros
19,"15_0,4_1,4_2",0.6770806733399806,0.5246629803419618,0.5800755866133156,0.5341132287328977,0.5714183717928969,0.6063410967436502,0.5574631118099694,0.4473833701929094,homo_sapiens,0.5726602744627637,0.6389892509743456,0.5925410031526974,0.5683609190164965,,,0.41883392516613127,,,,,,,,0.45617521946679923,0.6758979199851296,0.48305763111843525,0.5833038115532675,0.46395111204000083,0.45903867149303434,0.4560198494980814,0.4127363507592076,0.5281902622146137,0.5641618339164169,0.6078397302782345,0.533516781641528,0.5868457566762011,0.49999999999999994,,,,,,,
20,"15_0,4_0,4_1,4_2",0.32291932666001955,0.47533701965803815,0.41992441338668446,0.46588677126710243,0.4285816282071031,0.3936589032563498,0.44253688819003056,0.5526166298070906,homo_sapiens,0.42733972553723626,0.36101074902565455,0.40745899684730247,0.43163908098350345,,,0.5811660748338687,,,,,,1.0,,0.5438247805332007,0.3241020800148704,0.5169423688815648,0.41669618844673245,0.536048887959999,0.5409613285069657,0.5439801505019186,0.5872636492407923,0.47180973778538615,0.435838166083583,0.39216026972176554,0.466483218358472,0.41315424332379896,0.5,,,,,,,
21,"15_0,4_0,4_1,4_2",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"15_0,4_2",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,mus_musculus,,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,0.5,0.5,,,,,
23,"15_0,4_1,4_2",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,mus_musculus,,,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,0.5,0.5,,,,,
24,"15_0,4_2",0.5,0.5,0.5,0.5,0.5,0.5,,0.5,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"15_0,4_1,4_2",0.5,0.5,0.5,0.5,0.5,0.5,,0.5,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"15_0,4_2",0.30794561708218526,,,,0.4324324324324324,0.3497478416214184,,,sus_scrofa,0.3256151097102961,0.37931034482758624,0.2790697674418604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"15_0,4_1,4_2",0.30794561708218526,,,,0.4324324324324324,0.3497478416214184,,,sus_scrofa,0.3256151097102961,0.37931034482758624,0.2790697674418604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"15_0,4_0,4_1,4_2",0.3841087658356295,,,,0.1351351351351351,0.30050431675716316,,,sus_scrofa,0.3487697805794079,0.24137931034482762,0.4418604651162791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"10_1,7_1,22_0,14_0",0.39102455985659884,0.2809732391167666,,,0.4030094735497043,0.42930473120662926,,0.6111357082046454,bos_taurus,0.2994450789923855,,0.5100997479785558,,,,0.6247730274206793,0.43654917218433037,,,,,0.3632496736928639,,,,,,,,,,,,,,,,,,,,,,
30,"10_1,7_1,14_0",0.6089754401434011,0.7190267608832335,,,0.5969905264502957,0.5706952687933707,,0.38886429179535464,bos_taurus,0.7005549210076146,,0.48990025202144427,,,,0.37522697257932064,0.5634508278156696,,,,,0.6367503263071362,,,,,,,,,,,,,,,,,,,,,,
31,"10_1,7_1,22_0,14_0",0.3191276803019269,,0.3038276868450062,,,,,0.3560407667838423,gorilla_gorilla,0.274464620734483,,,0.28846153846153844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"10_1,7_1,14_0",0.6808723196980732,,0.6961723131549937,,1.0,1.0,,0.6439592332161577,gorilla_gorilla,0.7255353792655169,,,0.7115384615384616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"10_1,7_1,22_0,14_0",0.28359132594571607,0.28585037794624624,,0.3042476887127761,0.3288053640895935,0.32231634364530437,0.3012548536995245,0.3283842948474248,homo_sapiens,0.2800371149879621,0.3281893687221808,0.27634436387172534,0.2939159387614145,,,0.317233340473263,,,,,,,,0.3412237149453545,0.3205814627196825,0.30147708155170744,0.3201503759309943,0.2886957721475826,0.3474516237525937,0.40039070530733517,,0.3597581935034087,0.2563900208047003,0.3252268271164102,0.29507960328844246,,,,,,,,,
34,"10_1,7_1,14_0",0.6538454364637695,0.7141496220537538,1.0,0.6542549476615801,0.6711946359104065,0.6776836563546957,0.6987451463004756,0.6637673499214607,homo_sapiens,0.719962885012038,0.6385033641169146,0.6748189566004191,0.7060840612385855,,,0.6827666595267369,,,,,,1.0,,0.6146019438105778,0.663733748894568,0.6985229184482925,0.6798496240690056,0.7113042278524174,0.6321943571441511,0.5996092946926649,1.0,0.6402418064965913,0.7436099791952997,0.6747731728835898,0.7049203967115576,1.0,1.0,,,,,,,
35,"10_1,14_0",0.06256323759051448,,,0.04149736362564386,,,,0.007848355231114509,homo_sapiens,,0.033307267160904555,0.0488366795278555,,,,,,,,,,,,0.044174341244067855,0.015684788385749326,,,,0.020354019103255263,,,,,,,,,,,,,,,
36,"10_1,14_0",0.3874022752056707,0.3053568431183915,0.3166117075570376,0.42753151884941404,0.2746560904556685,0.5579304274401103,0.4896542429593591,0.267277848292982,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"10_1,7_1,14_0",,0.09103002543488364,,0.07714608915785551,,,,0.08323287247890898,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"10_1,22_0,14_0",0.6125977247943293,0.3372090533531785,0.6833882924429624,0.305733038224115,0.4352063457265989,0.4420695725598898,0.3210261784141264,0.39489021423936665,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"10_1,7_1,22_0,14_0",,0.2664040780935464,,0.18958935376861547,0.2901375638177326,,0.1893195786265144,0.25459906498874224,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"10_1,7_1,22_0,14_0",0.4069589609079618,0.3592208323525189,0.4143304663692071,0.42653792693945203,0.4242472773935158,0.365622406356607,0.4762230644042574,0.4403932447965046,mus_musculus,,,0.4533163729619533,,0.35840894384007604,0.4685714285714285,0.4599600720835007,0.4851612652254537,0.41847085296617714,0.4366054946499108,0.5446428571428571,0.46451612903225803,0.4851000422752838,,,,,,,,,,,,,,,,,,,,,,
41,"10_1,7_1,14_0",0.5930410390920381,0.640779167647481,0.5856695336307929,0.5734620730605479,0.5757527226064842,0.6343775936433931,0.5237769355957426,0.5596067552034953,mus_musculus,,,0.5466836270380466,,0.641591056159924,0.5314285714285715,0.5400399279164994,0.5148387347745463,0.5815291470338229,0.5633945053500893,0.45535714285714285,0.535483870967742,0.5148999577247162,1.0,,,,,,,,,,,,,,,,1.0,,,,,
42,"10_1,22_0,14_0",0.37943963111161033,0.3288415344823068,0.327482096099518,0.33555958748997033,0.4590281537626426,0.34296541495047705,,0.4732336002933101,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"10_1,7_1,14_0",0.08245700839142882,0.15467941524518455,0.17618947330634216,0.187540848925702,0.0944846969652147,0.14623431875386905,,0.06546016391929177,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"10_1,14_0",0.20642319823892316,0.09889807688251515,0.1774183736254874,0.12783197940288793,0.10479314627847613,0.17264422395476114,,0.08633886379487479,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"10_1,7_1,22_0,14_0",0.3316801622580377,0.4175809733899935,0.3189100569686525,0.34906758418143974,0.3416940029936666,0.33815604234089275,,0.37496737199252334,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"7_1,22_0,14_0",0.18329163821795494,0.21538625136716494,,,0.48532276574154504,0.21060696431538975,,0.3633209417389217,rattus_norvegicus,,,0.2539592194372633,,,,0.27699023294012076,0.3853885109471968,,,,,0.26483044079358736,,,,,,,,,,,,,,,,,,,,,,
47,"7_1,14_0",0.8167083617820451,0.7846137486328352,,,0.5146772342584549,0.7893930356846102,,0.6366790582610783,rattus_norvegicus,,,0.7460407805627368,,,,0.7230097670598793,0.6146114890528032,,,,,0.7351695592064127,,,,,,,,,,,,,,,,,,,,,,
48,"10_1,7_1,22_0,14_0",0.287683403100762,,,,0.40243902439024387,0.3509628426937404,,,sus_scrofa,0.3568923488310386,0.36363636363636354,0.4666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"10_1,7_1,14_0",0.7123165968992381,,,,0.5975609756097562,0.6490371573062595,,,sus_scrofa,0.6431076511689614,0.6363636363636364,0.5333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"12_0,5_0",0.059788311205710466,,,,,0.25616771793510046,,0.039671329682473895,bos_taurus,,,0.019042171180435608,,,,,0.022623116359288355,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"12_0,21_0,21_1,5_0",0.9402116887942895,1.0,,,1.0,0.7438322820648995,,0.9603286703175261,bos_taurus,1.0,,0.9809578288195645,,,,1.0,0.9773768836407116,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
52,"12_0,21_0,21_1,5_0",1.0,,1.0,,1.0,1.0,,1.0,gorilla_gorilla,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"12_0,21_0,21_1,5_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,homo_sapiens,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
54,"12_0,21_0,21_1,5_0",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,monodelphis_domestica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"12_0,5_0",,0.08742075552887943,,,,0.1849274530566798,0.01961916616688887,,mus_musculus,,,0.01602662442565569,,,,,0.0,0.022890264159579465,0.05328527799461703,,,,,,,,,,,,,,,,,,,,,,,,,
56,"12_0,21_0,21_1,5_0",1.0,0.9125792444711206,1.0,1.0,1.0,0.8150725469433202,0.9803808338331111,1.0,mus_musculus,,,0.9839733755743444,,1.0,1.0,1.0,1.0,0.9771097358404206,0.9467147220053829,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,
57,"12_0,21_0,21_1,5_0",1.0,1.0,1.0,1.0,1.0,1.0,,1.0,ornithorhynchus_anatinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"12_0,21_0,21_1,5_0",1.0,1.0,,,1.0,1.0,,1.0,rattus_norvegicus,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
59,"12_0,21_0,21_1,5_0",1.0,,,,1.0,1.0,,,sus_scrofa,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"12_0,21_0,21_1,5_0",,1.0,,1.0,1.0,1.0,,1.0,xenopus_tropicalis,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
