Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
sus_scrofa	14_0,1_1,1_2,2_3					6.888883261853279e-07																1.399323497055349e-06			1.8175829219439612e-06		1.4351066248579513e-06	6.7848057428889294e-06						1.11608695844073e-06										
mus_musculus	14_0,1_1,1_2,2_3	2.490780753978396e-06				6.392734663101351e-07				1.1916438810528987e-06		5.933233096911023e-07	1.820848865174153e-07	4.4654281846893473e-07			4.80011279171364e-07	3.3136062293779537e-06	4.3331320041255494e-07			2.2343634557123073e-07					3.0944342214941055e-07	1.447138904689547e-06					3.8542768564114806e-06			1.649963538873911e-07	1.2132495102560431e-06			6.360408140515509e-07		3.441555887773498e-06		4.925222391190108e-07
mus_musculus	15_0,4_1,4_2	2.850236829928038e-06				1.2890763321964437e-06		2.3317795908659528e-07	2.256237028830648e-07	2.4607909207208122e-06		1.8210198769975762e-06	4.57672822868098e-07	7.012526384309812e-07			4.374786341814961e-07	5.841580551714278e-06	4.842912239905024e-07			3.8510606423894297e-07					5.280320938678269e-07	1.5259049083736217e-06					6.562617685523512e-06			3.2234588763048636e-07	1.0884963644395317e-06			1.1030933115874979e-06		3.5101341789582426e-06		7.219459576676558e-07
gorilla_gorilla	15_0,4_1,4_2					2.3781611397346386e-06						3.3548867889832454e-06								1.5918451268536508e-06		6.301355804362348e-07					6.621599418946828e-07							3.56100833993384e-06						1.092440952480674e-06				
sus_scrofa	15_0,4_1,4_2					2.847422491356114e-07																1.199420140333156e-06			9.67423168131463e-07		7.54834886860876e-07	1.1467277311924947e-06						8.182936196663705e-07										
ornithorhynchus_anatinus	15_0,4_1,4_2					1.3155127931538437e-06				2.298252920658962e-06		5.564841738992292e-06						7.009922150385446e-06				2.2471567704044404e-06					8.617789579369456e-07													5.0726328503850475e-06				
homo_sapiens	15_0,4_1,4_2		5.336475520350611e-07	6.352663532837242e-07	5.44525254425877e-07	1.2293615171952518e-06				1.1555760423684334e-06		9.196491038892096e-07		3.300643123133513e-07				1.2029112308192952e-06		3.035112068807863e-06		5.235137464610572e-07	1.202386386443962e-06	1.1064801298291084e-06	8.810626302721966e-07	6.206562975540552e-07	2.9030034647872644e-07	8.928181111828259e-07	5.033578486024045e-07		1.8735300713569798e-06	1.252337621602888e-07	1.366554277904485e-06	1.4704503679760526e-06	5.068889956092239e-07			1.1255107838614877e-06	4.3416043791158407e-07	1.3029118066951952e-06	5.141640855261972e-07		5.21788536278932e-07	
gorilla_gorilla	15_0,4_2					2.3781611397346386e-06						3.3548867889832454e-06								1.5918451268536508e-06		6.301355804362348e-07					6.621599418946828e-07							3.56100833993384e-06						1.092440952480674e-06				
sus_scrofa	15_0,4_2					2.847422491356114e-07																1.199420140333156e-06			9.67423168131463e-07		7.54834886860876e-07	1.1467277311924947e-06						8.182936196663705e-07										
mus_musculus	15_0,4_2	2.850236829928038e-06				1.2890763321964437e-06		2.3317795908659528e-07	2.256237028830648e-07	2.4607909207208122e-06		1.8210198769975762e-06	4.57672822868098e-07	7.012526384309812e-07			4.374786341814961e-07	5.841580551714278e-06	4.842912239905024e-07			3.8510606423894297e-07					5.280320938678269e-07	1.5259049083736217e-06					6.562617685523512e-06			3.2234588763048636e-07	1.0884963644395317e-06			1.1030933115874979e-06		3.5101341789582426e-06		7.219459576676558e-07
