,path,blastula,brain,egg cell,embryo,female gonad,gastrula,heart,liver,mesonephros,skeletal muscle tissue,testis,Species,adult mammalian kidney,colon,lung,spleen,cerebellum,placenta,kidney,prefrontal cortex,frontal cortex,Ammon's horn,thymus,zone of skin,cerebral cortex,embryonic stem cell,fibroblast,intestine,adipose tissue,adrenal gland,adrenal tissue,heart left ventricle,leukocyte,lymph node,multi-cellular organism,muscle of leg,prostate gland,stomach,thoracic mammary gland,thyroid gland,bone marrow macrophage,temporal lobe
25,"2_0,4_0,12_1,3_0",,0.33005042323562045,,,0.6421577214926251,,0.6993327445874797,0.6618512248301835,,0.5846771738715378,0.6500332015029129,homo_sapiens,1.0,0.5492201904748524,0.7080046732201047,,,1.0,0.6545041653128097,0.3124581389886458,0.31607268659516796,,,,,,,0.6214652493341709,1.0,1.0,0.7155392965486512,1.0,1.0,1.0,0.636986251791479,0.6963851421021792,1.0,0.6575582546391725,1.0,1.0,,
26,"2_0,4_0,12_0,3_0",,0.6699495767643796,,,0.357842278507375,,0.30066725541252026,0.33814877516981645,,0.4153228261284621,0.3499667984970871,homo_sapiens,,0.4507798095251476,0.2919953267798953,,1.0,,0.34549583468719025,0.6875418610113543,0.683927313404832,,,,,,,0.378534750665829,,,0.2844607034513488,,,,0.36301374820852095,0.30361485789782083,,0.3424417453608274,,,,1.0
27,"2_0,4_0,12_1,3_0",,1.0,,,0.6080483809838159,,0.5362454572464064,1.0,,,1.0,monodelphis_domestica,0.6504783927101396,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
28,"2_0,12_1,3_0",,,,,0.3919516190161841,,0.46375454275359346,,,,,monodelphis_domestica,0.3495216072898604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"2_0,4_0,12_1",,1.0,,,1.0,,1.0,1.0,,1.0,1.0,mus_musculus,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,
30,"2_0,12_1",,0.0552538108023616,,,0.037016230809039805,,,0.4524645007957982,,,0.071200895062589,ornithorhynchus_anatinus,,,,,0.07293423090499157,,,,,,,,,,,,,,,,,,,,,,,,,
31,"2_0,4_0,12_1",,0.9447461891976383,,,0.9629837691909602,,1.0,0.5475354992042017,,,0.928799104937411,ornithorhynchus_anatinus,1.0,,,,0.9270657690950085,,,,,,,,,,,,,,,,,,,,,,,,,
32,"2_0,4_0,12_1,3_0",,,,,,,0.6521739130434782,1.0,,,,sus_scrofa,1.0,,1.0,,,,1.0,0.3062991473414934,,,,,,,,,,,,,,,,,,,,,,
33,"2_0,4_0,12_0,3_0",,,,,,,0.34782608695652173,,,,,sus_scrofa,,,,,,,,0.6937008526585066,,,,,,,,,,,,,,,,,,,,,,
34,"2_0,4_0,12_1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
