Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow macrophage	brain	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
mus_musculus	2_0,4_0,12_1	1.8741482528997882e-06				4.3044957251894286e-07		5.013860064068107e-08	1.1461419402595531e-06	3.598713947868738e-07		7.085241715233939e-07			2.0962517887863359e-07	1.5666791400505089e-06	1.0832830010313873e-07			6.146377910463067e-07					3.955998414668019e-07	3.644892114645497e-07					1.5828453769665287e-06			6.507703801506926e-07	4.281331269429675e-07			1.2632505290123155e-06		1.4151916033668548e-06		3.425748752085676e-07
monodelphis_domestica	2_0,4_0,12_1					5.131498747002335e-07			1.47152747787031e-06	6.934730265379285e-07						7.598639006108049e-07				1.1244063720567403e-07					2.262790139998488e-07						3.751790348881506e-07							2.6397264216850773e-07				
xenopus_tropicalis	2_0,4_0,12_1						8.632220711620863e-07		2.899508812519101e-06				6.041318753692119e-07	6.292047629362464e-07		5.122765865506499e-06			4.518031063404021e-07	1.5206141558547254e-06					7.314029497279866e-07			1.5741777120822062e-06						2.2021429803522383e-06				2.2291949758729715e-06				
bos_taurus	2_0,4_0,12_1					6.375880638071756e-07			1.469378823895887e-06			5.829934318049675e-07								2.7968116958307316e-07					6.615469846416083e-07	6.462928613355886e-07						8.991831714895538e-07		3.7494672468497276e-07	8.806994559588219e-07			1.8996787181638635e-06				
gorilla_gorilla	2_0,4_0,12_1					3.901467256994307e-07				2.648177259075124e-07								4.710562110077131e-07		8.420440041132092e-08					2.745637660867701e-07							7.700379920428025e-07						5.581533564322092e-07				
sus_scrofa	2_0,4_0,12_1					5.128405380871407e-07														1.4617932960310335e-06			6.156329251745671e-07		3.9573752402821307e-07	1.1467277311924942e-06						6.972419298247788e-07										
ornithorhynchus_anatinus	2_0,4_0,12_1					2.98141650017569e-07			9.612651554377919e-07	9.305768763404895e-07						1.3507504227954867e-06				3.317692766144614e-07					1.2889026336879334e-07													1.147594215335447e-06				
homo_sapiens	2_0,4_0,12_1		4.130358891043849e-07	3.713176622929948e-07	2.3286744109947406e-06	3.716657792707594e-07			4.0561239801944407e-07			2.928347815009705e-07				6.634460779415045e-07		8.615329558953493e-07		7.805278363518313e-07	2.838307710712834e-07	1.887590153538426e-06	1.8263559478252305e-06	5.058069723763291e-07	2.954747159292808e-07	1.0896507709739876e-06	3.579693967198687e-07		5.503879931252277e-07	4.200614539128264e-07	5.015344372824582e-07	6.310225942537906e-07	2.7569696050946374e-07	5.313414035625922e-07		1.3213174416978222e-06		9.204738110541909e-07	2.7257899231794665e-07		4.3477812053191e-07	
monodelphis_domestica	2_0,12_1					8.144287454254557e-08										1.2282181146696367e-07				6.108875059210273e-08																						
bos_taurus	2_0,12_1					3.843248527515319e-08																													9.038369285018119e-08							
ornithorhynchus_anatinus	2_0,12_1								5.621992831172061e-08	7.321045716111155e-08						5.1921632550061054e-08									1.0651047969923573e-07													8.797352933069364e-08				
bos_taurus	2_0,4_0,12_0,3_0					2.1492642878745656e-07			2.0934013565808054e-06			2.5174519678477937e-07								1.5840787933530682e-07					2.503106363642833e-07	3.242885011873611e-07						1.2372330527361602e-06		2.0614621330826012e-07	4.764188024439016e-07			1.2107045326780482e-06				
homo_sapiens	2_0,4_0,12_0,3_0				8.916860892227058e-07				6.492016800793474e-07	5.388604694771579e-07		2.652748694522367e-07				3.5515835042860593e-07		1.344769095369163e-06		3.218734896932023e-07		1.0869721589296457e-06	9.408359076473328e-07		1.5020342881857907e-07	4.597810119232044e-07			3.3422138042385525e-07	1.775505067418641e-07		1.0163781605115568e-06		2.6734068551990004e-07		6.449673740476194e-07	6.512406568673761e-07	4.6405995460668553e-07				
sus_scrofa	2_0,4_0,12_0,3_0																			7.329789746480397e-07												1.1986714159136987e-06										
monodelphis_domestica	2_0,12_1,3_0					2.636937182373149e-07										5.263386926719994e-07				1.1150394079249883e-07																						
bos_taurus	2_0,12_1,3_0					4.012940637266863e-07																													4.5233926476306675e-07							
monodelphis_domestica	2_0,12_1,3_0					2.636937182373149e-07										5.263386926719994e-07				1.1150394079249883e-07																						
bos_taurus	2_0,12_1,3_0					4.012940637266863e-07																													4.5233926476306675e-07							
bos_taurus	2_0,4_0,12_0,3_0					2.1492642878745656e-07			2.0934013565808054e-06			2.5174519678477937e-07								1.5840787933530682e-07					2.503106363642833e-07	3.242885011873611e-07						1.2372330527361602e-06		2.0614621330826012e-07	4.764188024439016e-07			1.2107045326780482e-06				
homo_sapiens	2_0,4_0,12_0,3_0				8.916860892227058e-07				6.492016800793474e-07	5.388604694771579e-07		2.652748694522367e-07				3.5515835042860593e-07		1.344769095369163e-06		3.218734896932023e-07		1.0869721589296457e-06	9.408359076473328e-07		1.5020342881857907e-07	4.597810119232044e-07			3.3422138042385525e-07	1.775505067418641e-07		1.0163781605115568e-06		2.6734068551990004e-07		6.449673740476194e-07	6.512406568673761e-07	4.6405995460668553e-07				
sus_scrofa	2_0,4_0,12_0,3_0																			7.329789746480397e-07												1.1986714159136987e-06										
monodelphis_domestica	4_0,12_1,3_0					5.94592749242779e-07			2.282942686378516e-07	2.174845101214195e-07						7.111508757307655e-07				1.5459526930660715e-07					2.3533992453798507e-07						3.891817888611472e-07							1.7641573551336388e-07				
homo_sapiens	4_0,12_1,3_0		5.519074032134445e-07	2.6405037505420695e-07	2.2562962486926466e-06	4.933547028983925e-07			1.6643847407304518e-07			2.322596857833143e-07				5.220663924256649e-07		1.1481509865475011e-07		7.231846925566522e-07	2.77002510069744e-07	1.5119741113333726e-06	1.6851812537993048e-06	3.504174807216552e-07	2.5638353292931206e-07	1.1337585816311052e-06	5.351436439045552e-07		4.804802170929681e-07	4.131054977096159e-07	3.4670995247063543e-07	2.4984139524588503e-07	3.7579122434268147e-07	2.2601075389981612e-07		1.0939108895464407e-06		8.18469017145302e-07	2.173146712747625e-07		8.173784832687396e-07	
sus_scrofa	4_0,12_1,3_0					6.180866402908676e-07														1.211914100128293e-06			7.03580485913791e-07		5.333061950952752e-07	4.3002289919718553e-07						1.8299003294631803e-07										
bos_taurus	4_0,12_1,3_0					7.711468072304178e-07			4.826677245234546e-07			5.495093072627951e-07								2.2545984347119558e-07					7.364941776732739e-07	5.276496287348971e-07						4.223421671967549e-07		3.203088882123054e-07	7.668980124527625e-07			1.7698370966707797e-06				
bos_taurus	4_0,12_0,3_0					7.387056551531739e-08			1.858993255933697e-06			3.4400111364627186e-08								6.629849083124503e-08					5.069272560021296e-08	1.1049721180565903e-07						1.179052807869734e-06		8.032449511118604e-08	1.9367934182181685e-07			6.449441818977044e-07				
homo_sapiens	4_0,12_0,3_0				2.2937242320737404e-07				6.604975253395827e-07	6.761441459937025e-07		1.453644034742985e-07				9.879190895820029e-08		1.1997539306619926e-06		8.300929977102156e-08		4.6560245796635687e-07	4.2296864212789253e-07		4.070383174655605e-08	1.5117505682710472e-07			1.0211657881110046e-07	6.857412261581655e-08		1.081558542329471e-06		6.249226452329389e-08		2.0365785996550504e-07	8.683208758231681e-07	2.2163182306344425e-07				
sus_scrofa	4_0,12_0,3_0																			2.498791959027408e-07												1.1870986819268675e-06										
bos_taurus	4_0,12_0,3_0					7.387056551531739e-08			1.858993255933697e-06			3.4400111364627186e-08								6.629849083124503e-08					5.069272560021296e-08	1.1049721180565903e-07						1.179052807869734e-06		8.032449511118604e-08	1.9367934182181685e-07			6.449441818977044e-07				
homo_sapiens	4_0,12_0,3_0				2.2937242320737404e-07				6.604975253395827e-07	6.761441459937025e-07		1.453644034742985e-07				9.879190895820029e-08		1.1997539306619926e-06		8.300929977102156e-08		4.6560245796635687e-07	4.2296864212789253e-07		4.070383174655605e-08	1.5117505682710472e-07			1.0211657881110046e-07	6.857412261581655e-08		1.081558542329471e-06		6.249226452329389e-08		2.0365785996550504e-07	8.683208758231681e-07	2.2163182306344425e-07				
sus_scrofa	4_0,12_0,3_0																			2.498791959027408e-07												1.1870986819268675e-06										
monodelphis_domestica	4_0,12_1,3_0					5.94592749242779e-07			2.282942686378516e-07	2.174845101214195e-07						7.111508757307655e-07				1.5459526930660715e-07					2.3533992453798507e-07						3.891817888611472e-07							1.7641573551336388e-07				
homo_sapiens	4_0,12_1,3_0		5.519074032134445e-07	2.6405037505420695e-07	2.2562962486926466e-06	4.933547028983925e-07			1.6643847407304518e-07			2.322596857833143e-07				5.220663924256649e-07		1.1481509865475011e-07		7.231846925566522e-07	2.77002510069744e-07	1.5119741113333726e-06	1.6851812537993048e-06	3.504174807216552e-07	2.5638353292931206e-07	1.1337585816311052e-06	5.351436439045552e-07		4.804802170929681e-07	4.131054977096159e-07	3.4670995247063543e-07	2.4984139524588503e-07	3.7579122434268147e-07	2.2601075389981612e-07		1.0939108895464407e-06		8.18469017145302e-07	2.173146712747625e-07		8.173784832687396e-07	
sus_scrofa	4_0,12_1,3_0					6.180866402908676e-07														1.211914100128293e-06			7.03580485913791e-07		5.333061950952752e-07	4.3002289919718553e-07						1.8299003294631803e-07										
bos_taurus	4_0,12_1,3_0					7.711468072304178e-07			4.826677245234546e-07			5.495093072627951e-07								2.2545984347119558e-07					7.364941776732739e-07	5.276496287348971e-07						4.223421671967549e-07		3.203088882123054e-07	7.668980124527625e-07			1.7698370966707797e-06				
