TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSMUST00000094499	ENSMUSE00000406816	5_0	ENSMUST00000094499	ENSMUSE00000489804	3_0	mus_musculus	132	GSE30617	2.931342129099913e-06																												1.6925235047174156e-05						6.406500333243239e-06	6.2976721177764914e-06																	1.591844692723541e-06						1.5549375787296055e-06		
ENSMUST00000094499	ENSMUSE00000406816	5_0	ENSMUST00000094499	ENSMUSE00000489804	3_0	mus_musculus	132	GSE41338						5.4974481532853465e-06						2.2366044265418077e-06																	2.1126342792076955e-05						7.4781078837889895e-06																	1.94891063927651e-05									
ENSMUST00000094499	ENSMUSE00000406816	5_0	ENSMUST00000094499	ENSMUSE00000489804	3_0	mus_musculus	132	GSE41637						6.210971911641591e-06						2.7688733651802657e-06				3.798435193266747e-06													3.0041887649354876e-06						5.5572197568983445e-06	7.0517260878292165e-06																2.3668625046995066e-05	2.081081890762785e-06				4.930939179488014e-07				
ENSMUST00000094499	ENSMUSE00000406816	5_0	ENSMUST00000094499	ENSMUSE00000489804	3_0	mus_musculus	132	GSE36026						4.7068242100000876e-07				4.7631670608647013e-07			5.53267157474218e-07	5.979130819417221e-07	1.62400033920938e-07					2.3696759351497715e-07				4.5880221220152876e-07					8.0886330843697e-07						2.0793717363551724e-07	8.090261428707808e-07																	2.344591122065041e-07								
ENSMUST00000094499	ENSMUSE00000406816	5_0	ENSMUST00000094499	ENSMUSE00000489804	3_0	mus_musculus	132	GSE43520												5.1830420932618826e-06										5.123780224726249e-06																										7.410862006202369e-06									1.6239138952135342e-06				
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE43721												1.2343569280239323e-06																							1.928666823821722e-06																						1.1528468146025225e-07				
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE43013						7.981980608830177e-06						3.004045152779743e-06																							5.980966145311132e-06																										
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	SRP022612																																																													8.18534210115669e-06
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE30352						9.109220276354432e-06						9.019472186867771e-07		3.256140403603333e-06															1.9100687746721172e-05						6.396453935960135e-06																						4.7295555433587396e-07				
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE30617	3.680261993754076e-06																												2.5285422239884776e-05						8.727141843203593e-06	1.6100825500459752e-05																	1.7333102421550018e-06						1.9027061653640681e-06		
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE41338						5.060151141092194e-06						3.976512882928315e-06																	2.669087058106151e-05						8.084923320659695e-06																	2.6020704956067074e-05									
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE41637						8.788996586428171e-06						4.088467891075013e-06				5.46338611898953e-06													5.982882409499731e-06						7.420715602072922e-06	1.012317495116219e-05																3.091729294649178e-05	2.7617968097005756e-06				8.569810589124732e-07				
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE36026						9.413648420000174e-07			1.9986682207422456e-07	5.264553067271512e-07			2.76633578737109e-07	4.4056753406232154e-07	2.2145459171037e-07					2.551958699392062e-07				1.0577939892424136e-06					1.449213427616238e-06						6.994250385921942e-07	8.494774500143197e-07																	4.298417057119242e-07								
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000072187	ENSMUSE00000474034	23_0	mus_musculus	133	GSE43520												8.144780432268673e-06										6.383906790353198e-06																										1.1245411151869888e-05									2.3198769931621914e-06				
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000094499	ENSMUSE00000474034	23_0	mus_musculus	133	GSE43721												1.2343569280239323e-06																							1.928666823821722e-06																						1.1528468146025225e-07				
ENSMUST00000072187	ENSMUSE00000489804	3_0	ENSMUST00000094499	ENSMUSE00000474034	23_0	mus_musculus	133	GSE43013						7.981980608830177e-06						3.004045152779743e-06																							5.980966145311132e-06																										
