Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	female gonad	fibroblast	frontal cortex	heart	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
sus_scrofa	2_0,1_0,1_1,1_4																								3.211799264007214e-06										
ornithorhynchus_anatinus	2_0,1_0,1_1,1_4					1.8547454737266957e-07	1.6082150210788614e-06		4.764886221822467e-06			2.90612783549547e-07																			6.486783541288845e-07				
homo_sapiens	2_0,1_0,1_1,1_4		3.165929561985041e-08		9.245071449732537e-07		1.1523504729694172e-06		3.2675493752833106e-06		3.614147390216264e-08			1.3401636482334122e-06	8.301206862553264e-08	1.2423627239365254e-07	8.738788266250353e-08			1.2214961759050805e-07	9.212591657198847e-08	4.014926113970956e-08	7.910465644513599e-08	7.45575983243985e-08	1.3698584717241173e-06				3.4661844960287157e-07	1.3748413867200163e-06	1.113409654291431e-07				
gorilla_gorilla	2_0,1_4								5.7812938836338855e-08					6.497327048382249e-08											6.487649710608501e-08										
homo_sapiens	2_0,1_4				4.7024408301275235e-08		3.7163133553566107e-08		6.442855192512835e-08																										
monodelphis_domestica	21_0,24_0,20_1,14_0						2.2800034746360884e-07		1.4595173529265342e-06										7.712993347157589e-08												6.785004934931062e-07				
bos_taurus	21_0,24_0,20_1,14_0					2.3123010399428795e-07	1.1492262107525332e-06								4.2269570177123955e-08				7.242534681127642e-08	3.435254660173485e-07					1.8517563181684392e-06		6.410844002464709e-08	9.429482885456144e-08			1.8775800834698277e-07				
gorilla_gorilla	21_0,24_0,20_1,14_0													5.522727991124911e-07											1.0306740736378476e-06						2.4971976153962634e-07				
sus_scrofa	21_0,24_0,20_1,14_0														2.6653780896292356e-07		3.5179024295689543e-07			6.052174136849278e-07					1.577764272526947e-06										
ornithorhynchus_anatinus	21_0,24_0,20_1,14_0					7.049548314290857e-08	5.367687730891234e-07		5.986613331545315e-07			1.5341293001263067e-07																			1.27782693989709e-07				
rattus_norvegicus	21_0,24_0,20_1,14_0					1.1119416048593484e-07	1.1587257480910213e-06								1.0441528521485163e-07					4.953002966660212e-07							2.4172738046557457e-08	6.30570737464482e-08			8.172987293073902e-07				
gorilla_gorilla	21_0,14_0																														5.023554049436053e-08				
homo_sapiens	21_0,14_0				1.1738757882991797e-07							3.605941163084061e-08		4.932849124863235e-08	7.385617101544111e-08					5.6774473962950324e-08					1.4630082390040484e-07						1.2316952634830197e-07	4.479823096900197e-08			
mus_musculus	21_0,14_0					9.54929381727374e-09	1.3891290120478732e-08					3.5607663652288034e-08								4.280797884762847e-08							1.5330452556505822e-08	2.157273919392101e-08			3.443818105695727e-08		6.839769373920343e-08		
mus_musculus	21_0,24_0,14_0	2.4672883147382356e-06				1.5401771176390948e-07	1.4634431437750446e-06		1.1393379033140131e-06	1.18109115578864e-07	3.497785214069904e-08	2.901074666099275e-07			1.1753844028211288e-07				6.26837154348811e-08	3.969545049350262e-07							5.7436777107879934e-08	3.796225396009775e-08			4.52498585338562e-07		8.582916530993398e-08		5.5371672477795426e-08
monodelphis_domestica	21_0,24_0,14_0						1.9360100261853736e-07		2.0173988040542997e-06										8.421578194808344e-08												1.0519307529376403e-06				
bos_taurus	21_0,24_0,14_0					3.8820432002082224e-07	3.040779001267022e-06				3.300936081715429e-07				4.936732042171419e-08				9.632954888690376e-08	4.871449000435716e-07					4.136132351629116e-06			9.62503968567516e-08			3.9980985940086877e-07				
gorilla_gorilla	21_0,24_0,14_0					2.153084921451066e-07			2.2013138112863037e-06					1.3806819977812278e-06	7.146486537091338e-08										2.792870434135468e-06						5.329721645193075e-07				
sus_scrofa	21_0,24_0,14_0					3.256929780515455e-07									2.3738523610760377e-07		5.716591448049551e-07		1.7543279618777374e-07	1.481189986123639e-06					3.847437309197549e-06										
ornithorhynchus_anatinus	21_0,24_0,14_0					7.049548314290857e-08	7.153009437251972e-07		8.922790948044316e-07			3.5412034590623036e-07			9.958165147967161e-08																3.740083195459532e-07				
homo_sapiens	21_0,24_0,14_0			9.486291607876068e-08	2.7139214983167914e-06	1.1328186054370742e-07	1.554906926671802e-06		2.0225337969927644e-06			1.2016949797010413e-07		8.532709864567032e-07	8.729731957225131e-08	3.9182940187930483e-07	5.204686266958654e-07	2.0507420588065648e-07		2.3572431634195478e-07	2.586673629435696e-07	9.319229505077534e-08	6.782486377593094e-08	4.9548261073234795e-08	1.2545416082533852e-06	8.66007814305708e-08			3.850895082986186e-07		1.5005303785490421e-07			6.608013765709866e-08	
rattus_norvegicus	21_0,24_0,14_0					1.515728766448682e-07	2.594755028218784e-06				8.844706471856941e-08				7.861436942337808e-08				8.808334904520072e-09	3.7519176215554304e-07								8.261549961570235e-08			1.9034815159028497e-06				
gorilla_gorilla	21_0,14_0																														5.023554049436053e-08				
homo_sapiens	21_0,14_0				1.1738757882991797e-07							3.605941163084061e-08		4.932849124863235e-08	7.385617101544111e-08					5.6774473962950324e-08					1.4630082390040484e-07						1.2316952634830197e-07	4.479823096900197e-08			
mus_musculus	21_0,14_0					9.54929381727374e-09	1.3891290120478732e-08					3.5607663652288034e-08								4.280797884762847e-08							1.5330452556505822e-08	2.157273919392101e-08			3.443818105695727e-08		6.839769373920343e-08		
