Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
homo_sapiens	6_1,4_2,12_0		2.5583787198704835e-08		6.005600978434267e-08	1.1110683501554392e-07	1.882117104203127e-05	3.065497012964032e-07		8.772256529350244e-08			3.9679566359691134e-08		3.7740215240021466e-05		7.923956579272007e-07	1.0499455258574322e-06	1.9379535112885399e-07	1.0016620868312494e-07		2.5737750591224717e-07		3.91522025299829e-06	4.317335038207164e-06	1.1289451546006091e-07	2.5264980237804176e-05	3.068799578108911e-07	1.482986717319387e-06		1.6226657994145794e-07	8.683208758231682e-06	9.30091128884478e-08	1.7495195265326172e-07		6.886755390398337e-07	
rattus_norvegicus	6_1,12_0						2.4437943490297695e-08			1.2301853431683207e-08												1.1451829848616088e-07								2.3438613059449078e-08							
homo_sapiens	6_1,12_0						1.1271475401188442e-07								8.950381664276018e-08					4.4631567747193945e-08				2.2103493237935798e-08	5.1749862735908735e-08		5.962962068141035e-08				6.419322880835477e-08						
mus_musculus	6_1,12_0	3.5045051640460624e-08																												3.7962015828394756e-08					1.4209423034481305e-07		
mus_musculus	7_2,24_0,6_1	3.4964129475453886e-06				4.1531545167182554e-08	2.406015171116286e-06	7.565604948061953e-07	1.40254574749901e-07	3.5234108773023765e-08							1.1854070462317898e-06					1.0829318548605531e-07				3.415141928885521e-08			1.292203420097367e-05	3.14079988606095e-08					7.200966662220302e-08		1.2229440302524925e-06
xenopus_tropicalis	7_2,24_0,6_1						6.827404156033888e-07				2.657577843801287e-07					4.394535351769079e-07	6.920442044619688e-08												9.679749364185662e-08				3.3719456501524935e-07				
bos_taurus	7_2,24_0,6_1					4.0639288047976095e-08	3.2890073503407927e-06			5.733351894104532e-08							4.1231968875933625e-07										2.8384442990979302e-06		5.597461446070477e-06				1.0380410671240825e-07				
gorilla_gorilla	7_2,24_0,6_1							6.981774015414928e-08							3.78469300568266e-06		2.4650345935559755e-07										8.144344561634272e-06										
sus_scrofa	7_2,24_0,6_1																3.743190354623057e-05					1.4334096639906183e-07					4.237918308360665e-06										
homo_sapiens	7_2,24_0,6_1						2.084078767751228e-06	2.30173194633959e-07							1.740721150603793e-06		1.3939045822311565e-07	5.323064008861298e-07	1.2859856497725776e-07			1.3003669396884802e-07		2.39879431066276e-07	2.939298169721607e-06		2.073495613947135e-06		7.066905238376616e-07		1.1336824625548449e-07		4.078081467728227e-08	1.196876316100775e-07		3.721954944965719e-07	
mus_musculus	7_2,6_1	9.863356450114471e-05				1.0392137817807424e-07	8.237685614099951e-05	1.0436323808199232e-06	2.450764148261428e-06	2.430281018875005e-08			1.5705621361058262e-07	2.5489011788973816e-08			3.063099069449228e-07				3.92391500166638e-08	1.345992421952195e-07				7.446559696945694e-08			4.0083153200155893e-07	1.0512039892052956e-07					1.5800163738165734e-07		1.5573469542629394e-07
xenopus_tropicalis	7_2,6_1						3.490846363290945e-06				4.779093534522348e-08					1.3548740845036421e-07	2.4636750818580684e-08						0.0						0.0				1.8578596193840162e-08				
bos_taurus	7_2,6_1						8.241684332272504e-05			6.880022272925437e-08							5.8049727118391525e-08					5.285130965809589e-08					2.101689278938739e-05		9.961827149057985e-07				1.2200937781159171e-08				
gorilla_gorilla	7_2,6_1														1.1662702051846134e-05		9.860138374223902e-08										2.8679715824253606e-05						1.7495291186115485e-08				
sus_scrofa	7_2,6_1																3.3233933055064524e-06					8.60045798394371e-07					7.54927503657395e-05										
ornithorhynchus_anatinus	7_2,6_1						1.0002208327647004e-05	1.6453309844825546e-06					3.6367056189356567e-08								5.3255239849617856e-08												3.1477764929508985e-08				
homo_sapiens	7_2,6_1		1.4581220210749377e-08	3.253600808819132e-08	5.942211253292504e-08	8.287901745690621e-08	1.485523484870459e-05	2.279196572375381e-07		1.3553052713310986e-08			1.3988072482498753e-08		2.3617617552300175e-05		4.6247006608869776e-07	6.422168226559612e-07	2.3433910400205866e-07	1.05505940079214e-07	3.1290100219061987e-08	2.1066535929020372e-07		2.3248547075257492e-06	8.427922461042555e-07	8.571353388414563e-08	1.841796410108079e-05	2.3977152553386195e-07	1.628726010852215e-07		1.0878117372445206e-07	8.683208758231682e-06	1.354363539539389e-08	1.419739059148757e-07		2.2256957772982787e-07	
rattus_norvegicus	7_2,6_1					2.0642783241693137e-08	4.3535363272941855e-05			1.2301853431683207e-08							7.074834058030765e-08				8.808334904520072e-09	1.7358000119541627e-07							8.235661513763284e-08	6.279614145473415e-08							
mus_musculus	4_2,12_0,1_1	0.00012942929357866588				4.692296552447239e-08	4.604075603686259e-05	1.7276715779997465e-06	9.138692817914602e-06	5.907256826366761e-08		3.645655284845802e-08	3.4585259043099897e-08				1.3083037665766022e-06				6.936939387128624e-08	1.738415684112361e-07				4.298379635470401e-08			1.4517662833671308e-05	1.1789929975134783e-07					7.152674209268652e-07		1.0908224338093613e-06
bos_taurus	4_2,12_0,1_1					2.980781773939e-08	0.00017024333898643182			7.576240235361218e-08							7.828920321924966e-07				4.7285843519485045e-08	2.791162555220089e-08					2.4069150384421746e-05		9.661454889284855e-06	6.394597386791361e-08			9.041633554750589e-08				
gorilla_gorilla	4_2,12_0,1_1							2.0234528592718606e-07							2.0271660390952612e-05		1.840488703714429e-07										3.8702916857305575e-05						4.373822796528872e-08				
ornithorhynchus_anatinus	4_2,12_0,1_1						1.0537682278166213e-05	3.6416915903179787e-06									2.0566643040376614e-07				5.3255239849617856e-08												5.938558134052784e-07				
rattus_norvegicus	4_2,12_0,1_1					6.029803090458304e-08	8.693120993984685e-05			3.10503370150455e-07							2.100343143314131e-06				5.557968073592858e-08	1.04699783470295e-06							1.727217806837197e-05	1.776201997918244e-07			3.1103735016904425e-07				
gorilla_gorilla	4_2,1_1														6.497327048382249e-08												3.464321257089618e-07										
bos_taurus	4_2,1_1						7.174001196884288e-08																														
ornithorhynchus_anatinus	4_2,1_1							2.5052369513652483e-07					6.456007570056237e-08																				7.891770030126461e-08				
