Species	path	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	colon	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland
homo_sapiens	8_0,9_4												1.561162291056073e-07	7.152634283019582e-08						3.12722676763529e-08											
sus_scrofa	8_0,9_4												3.24842954673563e-07																		
homo_sapiens	8_0,9_3,5_8,9_5																														
sus_scrofa	8_0,9_3,5_8,9_5												3.4808171989251796e-05				2.2952765493251046e-07														
homo_sapiens	8_0,9_4,9_5												6.504371727393121e-06	2.240392941476906e-06						1.6612749809197484e-06											
sus_scrofa	8_0,9_4,9_5												4.511568882023985e-05																		
monodelphis_domestica	13_0,4_0,11_0												4.598510242828758e-06																		
bos_taurus	13_0,4_0,11_0												2.199322430917645e-06																		
gorilla_gorilla	13_0,4_0,11_0												1.055821254502793e-06																		
sus_scrofa	13_0,4_0,11_0												6.134534259412286e-05																		
homo_sapiens	13_0,4_0,11_0			8.127179303130134e-08									1.341055227962118e-05	8.295921995334586e-06	1.0711868252559099e-07			6.39985705279287e-08		1.498786730141562e-06											
rattus_norvegicus	13_0,4_0,11_0												2.3365654646961432e-06																		
gorilla_gorilla	13_0,11_0						8.18225414719597e-08				3.2486635241911244e-08																				
homo_sapiens	13_0,11_0					3.716313355356611e-08				3.605941163084062e-08			5.378883801196939e-08							1.61854238410581e-08											
bos_taurus	13_0,11_0					1.3387232652445741e-08							9.674954519731918e-09										7.360288468924702e-08								
monodelphis_domestica	5_10,5_11,1_1					7.824230632156877e-08	1.5102339310274797e-07			1.3334669535170424e-07			2.0288118484876247e-06									2.0357948785563257e-07							1.1173704359377482e-07		
xenopus_tropicalis	5_10,5_11,1_1					1.2201818077976968e-07			1.5044866574307877e-07			1.3137808696757529e-07	1.2415569613637662e-05						3.836365461569494e-07										1.419766589537892e-07		
bos_taurus	5_10,5_11,1_1				3.5550478459986534e-08	4.1432473782930343e-07							5.0872589993874545e-06				6.760696182922775e-08	3.568162121509111e-06					2.2080865406774113e-07			7.747173672872676e-08			2.826390639892394e-07		
gorilla_gorilla	5_10,5_11,1_1										6.497327048382249e-08		1.1634329146317908e-06				6.447258770559569e-08						6.614892053561045e-08						1.8463545898904107e-07		
sus_scrofa	5_10,5_11,1_1												8.577103399361577e-05				3.2501587101782e-07	2.8668193279812366e-06					3.143647799720307e-07								
homo_sapiens	5_10,5_11,1_1			8.180138488706864e-08	5.3281821653695175e-08	1.3447389602326636e-07	7.24821209157694e-08			2.7753864339000667e-07	1.8125310831477701e-07		1.801686197775006e-05	1.592151119475644e-05	1.907628481244167e-07	2.6932819199068295e-07		2.0726918063386852e-07		4.634012638045452e-06		2.3335548355656284e-07	9.905946265912271e-08				8.534727057811952e-08		1.1307688126516555e-06		3.0260140772552077e-07
bos_taurus	5_10,1_1																7.219588476237266e-08	5.05743885025399e-08													
homo_sapiens	5_10,1_1												5.1498560946913883e-08																		
sus_scrofa	5_10,1_1												1.1244563815623336e-06																		
rattus_norvegicus	5_10,1_1				1.1313651313542992e-07	2.3759217217464707e-07		1.9916374560371828e-07					4.014326197429115e-06				4.227667147479252e-08	5.252957918059486e-07							4.544748250260562e-08	3.233591720437714e-07			4.767800024740176e-08		
monodelphis_domestica	3_0,13_0,4_0,11_0												4.943752195470999e-06																		
bos_taurus	3_0,13_0,4_0,11_0												2.3278048410882694e-06																		
gorilla_gorilla	3_0,13_0,4_0,11_0												1.933635719295665e-06																		
sus_scrofa	3_0,13_0,4_0,11_0												6.012926384072953e-05																		
homo_sapiens	3_0,13_0,4_0,11_0			8.127179303130134e-08									1.4620675262957621e-05	8.098302336345381e-06	9.69678132000665e-08			6.39985705279287e-08		1.3360186153584322e-06											
rattus_norvegicus	3_0,13_0,4_0,11_0												2.0504210191036815e-06																		
gorilla_gorilla	3_0,11_0				6.461326323972726e-07		2.441884568919633e-06				2.1766045612080533e-06						2.1389442625286745e-07						3.9625560171892864e-06						2.9266559737310547e-07		
sus_scrofa	3_0,11_0				1.561515025600259e-07								6.246979897568518e-07			8.794756073922388e-08	2.4569603116776895e-06	1.433409663990618e-05					4.269732172582717e-06								
monodelphis_domestica	3_0,11_0				1.893696245819675e-07	6.816928409371929e-07	1.8649990743678776e-06			2.687215212075303e-07			1.393230816585815e-07									1.4120860634448386e-07									
