Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	embryonic stem cell	female gonad	fibroblast	frontal cortex	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
gorilla_gorilla	4_2,2_0,2_2					3.581656849508493e-06					6.114579932869845e-07						8.121658810477811e-07	5.750354985026423e-06					1.7625752042226548e-06						1.9386603726053973e-06						1.1133751649284901e-06				
sus_scrofa	4_2,2_0,2_2					2.1822561572608022e-06												1.060737186607135e-05			3.825718892156238e-06		1.394329590144701e-06	1.313958858658067e-05					7.29135135417411e-07										
homo_sapiens	4_2,2_0,2_2		5.129772341949222e-06	1.2516412536856269e-05	6.418998243631181e-06	4.2630591991972534e-06			1.287876083097122e-06		2.1181251925625605e-07		7.25906952363271e-05		1.3078659110767949e-05		4.148308481402737e-07	3.4766121715221815e-06	1.8100262023800253e-05	3.9258741823912645e-06	7.981465246879395e-07		2.2406816240900645e-07	6.849050066926185e-06	7.209841277137828e-06	6.717791613429627e-06	1.0355650197435661e-06	1.0597224505859602e-05	5.923917653272408e-07	6.336829976493719e-05			1.7060701639124167e-05		1.036082027981485e-05	3.6062575930046577e-06		2.1600740630345347e-06	
rattus_norvegicus	4_2,2_0,2_2								5.387494792169898e-07				6.289943827282821e-05					2.727365044726994e-06						4.779706932465219e-06							8.024949813523653e-07	4.548889576488482e-06			1.6332152564891943e-06				
gorilla_gorilla	4_2,2_2					1.1212379721788077e-07					1.0094191121656357e-05						1.2344921391926271e-06	9.988963004953246e-06					1.2285997881648246e-07						3.700505181905896e-06						2.3155892155314425e-07				
sus_scrofa	4_2,2_2					1.599772091118812e-07												0.0002077995393127193						2.006773529586865e-06					1.1617266088631723e-06										
mus_musculus	4_2,2_2	2.189785702324751e-07				6.46925571878574e-08	8.327784253092691e-07		4.2623098264302224e-07	7.660622180412249e-07	3.340012536869397e-07		8.30666057960275e-07	3.645655284845802e-08	1.704666451292945e-07	3.4410165915114657e-07		2.4526886821627916e-07					1.2423126247235964e-07	1.3402552237657706e-07				4.816178580781661e-06			0.0005351885799409533	1.9859975064135978e-07			2.390422563425639e-07		1.7259006872518447e-07		0.00010287520332047347
monodelphis_domestica	4_2,2_2								8.700159314012279e-08						1.2282181146696367e-07			8.693201415875683e-07										1.1439043313732522e-06											
homo_sapiens	4_2,2_2		2.1196090769501338e-07	2.6374532286377375e-07	5.0531415517532685e-06	1.0025796200942588e-07			8.691280701047951e-07		2.1454689868408682e-06		8.548278664038414e-07		1.9371698817150955e-06		5.217204678390666e-07	1.040950340258338e-05	4.863912942391102e-05	9.194048461961064e-07	6.644634553647126e-07	7.960545202881261e-08	3.1290100219061987e-08	1.0068178701478156e-06	7.799889643769934e-07	1.3262729755010893e-05	0.0008040889990037434	2.6132492770570015e-07	5.146077085926408e-07	3.137762739023003e-07	0.00014026706269897597		2.676850056462182e-06		4.925888402230515e-06	3.9354342894203614e-05		8.321407579935798e-05	
bos_taurus	4_2,2_2					3.0302141106090554e-07			2.5555521957387843e-06				1.0048365015797862e-05					0.00043490615693215617					1.1612503036500025e-07	1.1050860002940372e-06					8.895456010201905e-07		0.00131004781919298	1.0071884797588936e-06			3.652336978002255e-06				
rattus_norvegicus	4_2,2_2					8.257113296677255e-08			1.157815977445225e-06				2.0868918940727226e-07					1.958005372656102e-06					5.84087312175043e-08	6.511091481856892e-08							0.001328052614173033	5.657841955594786e-07			9.606756797510874e-08				
mus_musculus	4_2,2_0,2_2,11_0					5.235081239592165e-07			2.8807024089198163e-07						2.7411993320501725e-06			5.297039151529286e-07						1.4000814908132259e-06				6.052528125920295e-06			0.00016975619560397493	1.1697271751609411e-06			6.889081039205902e-07		7.191565654726967e-07		4.3855465781384544e-05
bos_taurus	4_2,2_0,2_2,11_0					2.770902974426007e-06			1.3469833870973537e-06				0.0003087775344304484					0.00014083760451645737					8.157412041832365e-07	1.2467290554192769e-05					1.0632752646478257e-06		0.0004718362034540891	3.267378734949461e-05			3.0706612294288244e-06				
