,path,brain,embryo,gastrula,heart,liver,mesonephros,testis,Species,adult mammalian kidney,colon,prefrontal cortex,lung,cerebellum,female gonad,frontal cortex,Ammon's horn,cerebral cortex,skeletal muscle tissue,zone of skin,adrenal tissue,prostate gland,multi-cellular organism,stomach,intestine,kidney,placenta,temporal lobe,spleen
30,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1",0.24128587306502722,,,,,,,mus_musculus,,,,,0.2390984077563503,,,0.18914500921176075,,,,,,,,,,,,
31,"7_0,6_0,3_0,1_1",0.10674417580139374,,,,,,,mus_musculus,,,,,,,,0.10212101623310661,0.2145897258240127,,,,,,,,,,,
32,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",0.5705486295922795,,,1.0,,,,ornithorhynchus_anatinus,,,,,0.5418037442480527,0.545245329443277,,,,,,,,,,,,,,
33,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,1_1",0.42945137040772047,,,,,,,ornithorhynchus_anatinus,,,,,0.4581962557519474,,,,,,,,,,,,,,,
34,"7_0,2_0,1_1",,,,,1.0,,,ornithorhynchus_anatinus,,,,,,0.45475467055672303,,,,,,,,,,,,,,
35,"3_0,2_0,1_1",1.0,,,1.0,,,,rattus_norvegicus,1.0,1.0,,,,,,,,,,,,,,,,,,
36,"7_0,6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,,,,sus_scrofa,,,0.4676480524113434,0.7254901960784315,,,,,,,,,,,,,,,,
37,"7_0,6_0,3_0,2_0,1_1",,,,,,,,sus_scrofa,1.0,,0.24582885687548608,0.27450980392156865,,,,,,,,,,,,,,,,
38,"7_0,6_0,3_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1",,,,,,,,sus_scrofa,,,0.28652309071317056,,,,,,,,,,,,,,,,,
39,"7_0,6_0,2_0,1_1",0.36475626574547,0.4123376707094411,0.3983609688121848,,,,,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,
40,"7_0,6_0,3_0,2_0,1_1",0.63524373425453,0.5876623292905588,0.6016390311878153,1.0,1.0,1.0,1.0,xenopus_tropicalis,,,,,,,,,,,,,,,,,,,,
