Species	path	Ammon's horn	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	brain	cerebellum	cerebral cortex	colon	egg cell	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
bos_taurus	10_1,17_0,17_1,9_0				1.1334421588830996e-07		1.3586629128591508e-05			1.1466703788209064e-08						2.713794717820177e-06											7.641989246671277e-06	4.630432810347084e-06								
homo_sapiens	10_1,9_0						1.5870045403565112e-08										7.168634525337118e-08							2.3704992116608674e-08												
xenopus_tropicalis	10_1,9_0					2.0711865391632628e-07	1.325532134875546e-07				5.485074481552131e-08	1.6496692044515245e-07	2.535915230113386e-07		1.3827382164181454e-07								3.441331610878035e-08									3.652051053321482e-07				
sus_scrofa	10_1,9_0															2.498791959027407e-08											9.008251828922846e-08									
bos_taurus	3_0,3_2,3_3,10_4						1.844859886431432e-05									7.08624738607011e-07											7.683124709771597e-06	4.6976912738720364e-06								
sus_scrofa	3_0,3_2,3_3,10_4															1.8324474366200995e-07											1.415628081597315e-05									
sus_scrofa	3_0,10_4															2.248912763124668e-06											7.150630478251597e-07									
bos_taurus	3_0,10_4						4.614219927012436e-07									3.397039740862302e-06											4.640479414488225e-07	1.651279941554242e-07								
bos_taurus	3_0,3_2,3_3,10_3						1.385794774924331e-05																					3.5740467425347234e-06								
sus_scrofa	3_0,3_2,3_3,10_3															1.082809848911877e-07											8.8949191310213e-06									
sus_scrofa	3_0,10_3															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
bos_taurus	3_0,10_3				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,3_2,3_3,10_3,10_4															8.745771856595929e-08											6.692772720236249e-06									
bos_taurus	3_0,3_2,3_3,10_3,10_4						1.0467090591520935e-05																					2.723274016917474e-06								
sus_scrofa	3_0,10_4															2.248912763124668e-06											7.150630478251597e-07									
bos_taurus	3_0,10_4						4.614219927012436e-07									3.397039740862302e-06											4.640479414488225e-07	1.651279941554242e-07								
bos_taurus	3_0,3_2,3_3,10_4						1.844859886431432e-05									7.08624738607011e-07											7.683124709771597e-06	4.6976912738720364e-06								
sus_scrofa	3_0,3_2,3_3,10_4															1.8324474366200995e-07											1.415628081597315e-05									
bos_taurus	3_0,10_3,10_4				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,10_3,10_4															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
bos_taurus	3_0,10_3,10_4				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,10_3,10_4															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
sus_scrofa	3_0,10_4															2.248912763124668e-06											7.150630478251597e-07									
bos_taurus	3_0,10_4						4.614219927012436e-07									3.397039740862302e-06											4.640479414488225e-07	1.651279941554242e-07								
bos_taurus	3_3,10_3,10_4						2.945191183538063e-07																					1.7095584006572572e-07								
sus_scrofa	3_3,10_3,10_4															2.498791959027408e-08											8.633348788109848e-08									
sus_scrofa	3_3,10_4															2.4987919590274077e-07											1.5870418542736648e-05									
bos_taurus	3_3,10_4				5.364252023717719e-08		1.4066472463566834e-05									8.171100149313562e-07											8.376395951620462e-06	3.541889434077665e-06								
bos_taurus	3_0,10_3,10_4				9.427555414254451e-08		2.532413491808945e-07			2.2933407576418128e-08						2.1855815264920173e-06											4.864785747621628e-07	1.3713897046866105e-07	2.582391224290891e-08			1.275219253667906e-07				
sus_scrofa	3_0,10_3,10_4															1.3993234970553486e-06			8.794756073922387e-08								9.008251828922848e-08									
bos_taurus	3_0,3_2,3_3,10_4						1.844859886431432e-05									7.08624738607011e-07											7.683124709771597e-06	4.6976912738720364e-06								
sus_scrofa	3_0,3_2,3_3,10_4															1.8324474366200995e-07											1.415628081597315e-05									
mus_musculus	10_5,18_0,13_0	3.992975469109501e-05			6.713564597208578e-08		1.4003789488808497e-05	8.035732881089302e-06	2.06690952263012e-06	3.710062520078438e-07			1.911530805115894e-07			2.8386565967254426e-07				1.9163840949360314e-07	1.9061673768036107e-07							3.0962356698465165e-06				5.910953788608042e-08		1.0699013822021945e-07		6.767788021474851e-07
monodelphis_domestica	10_5,18_0,13_0						5.244177406280712e-06	6.0402681617710545e-06								2.9828960089333953e-07																2.569594019204044e-06				
xenopus_tropicalis	10_5,18_0,13_0					2.740769595973017e-07	6.207503515267448e-05					1.4273370812016652e-06	5.048127722096386e-07		2.330086570929946e-06	4.2140223743978005e-07												4.839874682092832e-08				1.867910872276058e-06				
bos_taurus	10_5,18_0,13_0				8.83291944869014e-08		1.6640125259819586e-05									5.772840272867014e-06											1.0110796980379688e-05	3.7860492893408933e-06				1.0617028424976201e-07				
gorilla_gorilla	10_5,18_0,13_0				2.4344301943055315e-07			7.570965259852668e-06						7.504412740881498e-06		1.3100919040272664e-06											1.4680320715865161e-05					1.1684120564284357e-07				
sus_scrofa	10_5,18_0,13_0															4.01056109423899e-06											2.082429748583922e-05									
homo_sapiens	10_5,18_0,13_0			1.7736636377288018e-07	8.49684812955062e-08		5.130087384023386e-06	6.097434729797617e-06		5.731092498700139e-08				5.218489465053271e-06		1.0038068024005106e-06	6.9734336760267304e-06	1.1002772319713641e-07	1.4130208951461154e-07	7.685035961463671e-08				3.5567363386888344e-07	2.4737834996168076e-06		5.5943066071725574e-06	2.4140560064956877e-06		1.0276710225620236e-07	4.6672247075495295e-06	1.8217502287055373e-07	4.445970742989357e-08		3.4433411674387436e-07	
rattus_norvegicus	10_5,18_0,13_0						2.6499181981262997e-05			5.651669931022532e-07						5.8218904556249894e-08												7.882394244138966e-06				1.398047857640753e-07				
gorilla_gorilla	10_5,13_0							1.5653714840865756e-07						2.2740644669337878e-07													3.672093424579734e-07									
homo_sapiens	10_5,13_0						1.7743710034458605e-07	4.0284463763522067e-07						4.115490708448239e-07		4.741020408725242e-08	6.243952978060115e-08			0.0				7.599237064107812e-08	1.2591403910443038e-07	4.473455899463907e-08	2.0316115976846481e-07	3.966426483971082e-08		6.419322880835477e-08					4.869485727749048e-08	
