,path,brain,embryo,gastrula,Species,colon,heart,lung,skeletal muscle tissue,spleen,testis,cerebellum,prefrontal cortex,adult mammalian kidney,frontal cortex,liver,Ammon's horn,cerebral cortex,female gonad,thymus,zone of skin,temporal lobe,adrenal tissue,heart left ventricle,intestine,kidney,multi-cellular organism,muscle of leg,stomach,thyroid gland,mesonephros,blastula,egg cell,placenta,adrenal gland,lymph node,thoracic mammary gland
35,"3_0,10_3,10_4",0.008874818153856547,,,bos_taurus,1.0,0.3459092221228757,,0.018446835113556954,1.0,1.0,,0.05523791133465193,1.0,,,,,,,,,,,,,,,,,,,,,,,
36,"3_0,3_2,3_3,10_4",0.6081365340964263,,,bos_taurus,,0.11644559738906254,,0.593028477426404,,,,0.8920710959380533,,,,,,,,,,,,,,,,,,,,,,,,
37,"3_0,3_2,3_3,10_3,10_4",0.3668181594362604,,,bos_taurus,,,,0.36631299321727384,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"3_0,10_4",,,,sus_scrofa,,0.5714285714285716,,,,,,0.03238109298034719,,,,,,,,,,,,,,,,,,,,,,,,
39,"3_0,10_3,10_4",,,,sus_scrofa,,0.35555555555555557,,,,,,0.004079319172622891,,,,,,,,,,,,,1.0,,,,,,,,,,,
40,"3_0,3_2,3_3,10_4",,,,sus_scrofa,,0.050793650793650794,,,,,,0.6604624026821054,,,,,,,,,,,,,,,,,,,,,,,,
41,"3_0,3_2,3_3,10_3,10_4",,,,sus_scrofa,,0.022222222222222227,,,,,,0.3030771851649245,,,,,,,,,,,,,,,,,,,,,,,,
42,"10_5,18_0,13_0",1.0,,,bos_taurus,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
43,"10_5,13_0",,,,gorilla_gorilla,,,,,,,0.02025714650587578,0.024403296822448378,,0.02941176470588236,,,,,,,,,,,,,,,,,,,,,,
44,"10_5,18_0,13_0",,,,gorilla_gorilla,,1.0,,,,1.0,0.9797428534941244,0.9755967031775516,1.0,0.9705882352941176,,,,,,,,,,,,,,,,,,,,,,
45,"10_5,13_0",0.03343123538425193,,,homo_sapiens,,0.04510030164528575,,0.01616494973085264,,,0.06197343450398756,0.03504308569457745,,0.07309880176142955,0.0,,,,,,,,0.008874453526118728,,,0.17604437191514916,0.048434110979835784,0.3844819209392542,0.12389635496655128,,,,1.0,,,
46,"10_5,18_0,13_0",0.966568764615748,,,homo_sapiens,1.0,0.9548996983547143,,0.9838350502691473,,1.0,0.9380265654960125,0.9649569143054225,1.0,0.9269011982385705,1.0,,,,,,1.0,1.0,0.9911255464738813,1.0,1.0,0.8239556280848509,0.9515658890201643,0.6155180790607457,0.8761036450334487,,,,,,,1.0
47,"10_5,18_0,13_0",1.0,,,monodelphis_domestica,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
48,"10_5,18_0,13_0",1.0,,,mus_musculus,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
49,"10_5,18_0,13_0",1.0,,,rattus_norvegicus,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"10_5,18_0,13_0",,,,sus_scrofa,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
51,"10_5,18_0,13_0",1.0,1.0,1.0,xenopus_tropicalis,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,
