Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	blastula	bone marrow	bone marrow macrophage	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	egg cell	embryo	embryonic stem cell	female gonad	fibroblast	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	leukocyte	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
bos_taurus	22_0,12_1					1.358776226766219e-06				8.173506115731446e-07				3.4302620598815675e-06								3.980576849605131e-06					1.1877968634868316e-06	8.484010356925336e-07						2.6525171544964576e-06		2.06834651987787e-06	3.1407544385791934e-07			2.134942219490947e-06				
gorilla_gorilla	22_0,12_1					2.551822873177341e-06						8.476066154148886e-07								1.8192515735470305e-06		8.34796865228011e-07					4.5435071223652403e-07							2.4563999260245524e-06						9.397376845964928e-08				
sus_scrofa	22_0,12_1					2.971406721258393e-06																3.498308742638373e-06			2.198689018480598e-06		1.5851802487289532e-06	3.4401831935774863e-06						2.287810981725582e-06										
homo_sapiens	22_0,12_1		5.699006470722542e-07	9.55339585920966e-07	2.757361525333913e-06	1.6674458393475093e-06				2.359797886360933e-06		7.083661796275364e-07		3.974986626861116e-07				5.443283334675278e-07		1.416016069548986e-06		1.5407846679166278e-06	4.478876232949157e-06	6.645402524573027e-07	1.0988640678214538e-06	1.0422989650360785e-07	3.9562329376369287e-07	9.012552206047189e-07	1.7011542908159067e-07		2.023854795972931e-06	1.9374240822834102e-06	1.522543959733267e-06	3.837487953588469e-06	5.132468420963244e-07	3.929287907221292e-06		9.612412039970286e-07	1.3024813137347527e-06	4.674330367289851e-07	6.721991468944349e-07		7.165277848524247e-07	
rattus_norvegicus	22_0,12_1					3.285536560289274e-07				7.333073159033901e-07				2.2797350646079466e-06								7.569714143808534e-07					3.285955282127301e-07	1.2672539659888099e-06								6.451101208550776e-07	5.462822651327798e-07			1.7250823798956875e-06				
mus_musculus	20_0,8_0,3_0	1.5372207096326005e-06				1.9238728122818434e-06		9.993341103711229e-08	2.3815835304323501e-07	8.334407775680973e-07	6.383851817010209e-08	7.958590776968055e-07	1.10727295855185e-07	2.3384254840836064e-06			1.3671207318171757e-07	1.2145805325951667e-06	3.122403944149293e-07			1.5405603432927815e-06					8.029502552008597e-07	2.8512509443183176e-06					4.185482559877866e-06			8.801771653805733e-07	2.3273890949130613e-06			2.804021487265579e-06		6.368851778324349e-06		8.774961649203545e-07
bos_taurus	20_0,8_0,3_0					5.429971257293392e-06				1.9594109626670973e-06				9.223038110802493e-06								5.599533803905182e-06					1.607090038257808e-06	6.179883622381528e-06						3.0683772435984617e-06		4.6444809383433264e-06	6.243447628452191e-06			2.1440391239086895e-05				
gorilla_gorilla	20_0,8_0,3_0					2.773991059011901e-06						1.2725154569986898e-06								1.900468161651806e-06		5.743107846141223e-07					8.874032363915675e-07							2.5017716298111503e-06						5.294794484486567e-06				
sus_scrofa	20_0,8_0,3_0					2.5756798100912703e-06																3.2234416271453558e-06			4.001614013634687e-06		1.9810097744050214e-06	1.791762079988273e-05						1.8092542150949378e-06										
homo_sapiens	20_0,8_0,3_0		1.1292153010933867e-06	9.885873824535018e-07	4.669359116292337e-06	1.924272803424986e-06				1.727464148336123e-06		1.1073917678963964e-06		6.294274352756314e-07				9.199026905726466e-07		1.1728529808425015e-06		1.5716094865117665e-06	1.0962909151378541e-05	2.1379570415880412e-06	3.2133585148881785e-06	3.736193147031824e-06	5.66424346808331e-07	2.583072897499569e-06	1.6308898553042988e-06		7.656273871847252e-07	1.98848606677042e-06	3.015437827533175e-06	2.7375531018460367e-06	1.698850307187124e-06	2.7352627227941044e-06		3.237838158030701e-06	1.4110214232126487e-06	1.4263642934053736e-06	6.370771177416958e-07		1.29389844475911e-06	
rattus_norvegicus	20_0,8_0,3_0					2.3609701803537614e-06				1.9314348402405807e-06				4.336124594730592e-06								1.987339967471113e-06					1.1766387836862867e-06	5.185055970078123e-06								1.184929389333989e-06	4.823760177213428e-06			4.939926518791017e-06				
homo_sapiens	20_0,3_0																					3.2596125407366453e-08	7.18463476765466e-08		9.711048716544096e-08							8.594757676879954e-08								4.10565087827673e-08				
mus_musculus	20_0,3_0																	6.303609043107106e-08				3.889732463812167e-08					3.5695025698276804e-08	2.8934050128652412e-08					2.988399332630661e-08									3.510295169425503e-08		
