Species	path	brain	embryo	female gonad	frontal cortex	gastrula	kidney	multi-cellular organism	prefrontal cortex	testis	thoracic mammary gland
xenopus_tropicalis	4_0,9_0,7_1	1.6649225410973423e-07	1.2589030360244092e-07			1.509683376206334e-07				6.419357285382404e-08	
bos_taurus	4_0,9_0,7_1	3.205294525483726e-07							2.5603235022505803e-07	3.6817074322414714e-07	
gorilla_gorilla	4_0,9_0,7_1				1.461898585886006e-07				1.621912427652125e-07		
sus_scrofa	4_0,9_0,7_1								3.5473297466824593e-07		
homo_sapiens	4_0,9_0,7_1	5.106898298564523e-07			2.7713158383374117e-07			1.0025106566978605e-07	2.0887043177368695e-07	3.586327349314349e-08	3.388077617600849e-08
rattus_norvegicus	4_0,9_0,7_1	1.2970335205606872e-06									
homo_sapiens	4_0,7_1			6.043229760634316e-08			9.7110487165441e-08	3.45944612237312e-08		3.0670038203519685e-08	
rattus_norvegicus	4_0,7_1	5.438841621693424e-08									
