Species	path	Ammon's horn	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	female gonad	frontal cortex	gastrula	heart	heart left ventricle	intestine	kidney	liver	lung	lymph node	mesonephros	multi-cellular organism	muscle of leg	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
xenopus_tropicalis	2_0,13_0,3_0						1.2101937082493647e-06				1.0337679975586386e-07			1.7880911135538943e-07								7.684441790028421e-08										3.118212121983387e-07				
bos_taurus	2_0,13_0,3_0					9.083722060145607e-08	1.560268626947924e-05			5.160016704694079e-08										9.13513313238898e-08						6.423619481708426e-06						1.899425600993776e-06				
gorilla_gorilla	2_0,13_0,3_0					6.556267669136919e-07		1.7879350397431914e-06					6.123730743100274e-06		7.229358951616866e-08											7.6000933371333824e-06						2.5780185833231745e-07				
sus_scrofa	2_0,13_0,3_0																			2.3890161066510305e-07						8.886831494635056e-06										
ornithorhynchus_anatinus	2_0,13_0,3_0					1.1518651373201017e-07	4.016606155144614e-06	5.832080651537008e-06				8.402435854249332e-07																				4.727537759437019e-07				
homo_sapiens	2_0,13_0,3_0		1.9744633931415684e-07	2.800133269078713e-07	9.597310590591881e-07	3.613305286633395e-07	4.683399851325509e-06	1.3548819632614459e-06		4.2671074266510655e-07		3.204882152598481e-07	7.218005130645328e-06		1.4003587849374774e-07	8.002907509650985e-08	1.7444227471695076e-06	8.664594916444944e-07		4.542276689338097e-07	1.2772029278657672e-07		1.4746630867926697e-06	8.28963366302728e-08	8.355048067839698e-08	5.8753130215443356e-06	7.810822716440936e-07			1.1926542825417487e-06	2.4964225179916e-06	6.013540683433381e-07	1.076850160951595e-06		2.7480395355356863e-07	
rattus_norvegicus	2_0,13_0,3_0					1.1680302826987199e-07	1.056086637763738e-05			5.860875648843961e-08																			2.7575236708874038e-08			7.797437237788228e-07				
gorilla_gorilla	2_0,3_0					1.4746589445659482e-07		5.7812938836338914e-08							4.9300691871119464e-08											8.692613728462189e-08						1.749529118611545e-08				
sus_scrofa	2_0,3_0					1.561515025600258e-07												2.638426822176717e-07	8.444622907475223e-08							9.008251828922849e-08										
mus_musculus	2_0,3_0	5.5731394837554494e-08				2.970940083368647e-08	1.685541205211751e-08	6.901541300514021e-08				6.013167398420435e-08													2.988399332630661e-08							1.0917339733398129e-08		7.316153030656031e-08		
ornithorhynchus_anatinus	2_0,3_0											1.9593179070238573e-07																				7.632163672966891e-08				
monodelphis_domestica	2_0,3_0						2.462004556621924e-07	1.7325356191917595e-07																												
